Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,2163.0,2163.0,2060.0,2103.0,275604247.0,-0.2,0.9,0.1,0.3,0.5,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-18,2052.0,2080.0,1998.0,2004.0,405765975.0,-0.35,0.85,-0.4,0.25,0.65,0.4,0.6,0.55,0.2,0.15,-0.3,-0.4
2021-09-19,1960.0,2050.0,1904.0,1944.0,419546032.0,-0.35,0.85,-0.25,0.45,0.65,0.35,0.55,0.5,0.2,0.15,-0.3,-0.4
2021-09-20,1970.0,1980.0,1908.0,1944.0,300781914.0,-0.15,0.85,0.1,0.55,0.7,0.35,0.6,0.5,0.25,0.15,-0.3,-0.4
2021-09-21,1910.0,1940.0,1847.0,1855.0,389768230.0,-0.35,0.85,-0.4,0.55,0.7,0.3,0.6,0.5,0.2,0.15,-0.3,-0.4
2021-09-22,1853.0,1870.0,1764.0,1814.0,375280645.0,-0.35,0.85,-0.4,0.25,0.55,0.3,0.6,0.5,0.2,0.15,-0.3,-0.4
2021-09-25,1900.0,1904.0,1834.0,1885.0,331653590.0,0.15,0.85,0.45,0.25,0.65,0.35,0.6,0.5,0.4,0.3,0.1,0.05
2021-09-26,1912.0,1912.0,1830.0,1862.0,179253417.0,0.15,0.85,0.45,0.55,0.65,0.35,0.6,0.5,0.4,0.3,0.2,0.1
2021-09-28,1862.0,1880.0,1800.0,1833.0,204119284.0,-0.2,0.9,0.1,0.3,0.5,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-29,1850.0,1872.0,1804.0,1845.0,248077772.0,0.15,0.9,0.2,0.3,0.5,0.3,0.6,0.4,0.2,0.1,0.05,0.1
2021-10-02,1855.0,1880.0,1817.0,1839.0,462281079.0,-0.2,0.8,0.1,0.3,0.5,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-03,1828.0,1930.0,1790.0,1878.0,632704827.0,0.15,0.85,0.25,0.35,0.6,0.3,0.55,0.45,0.4,0.3,0.1,0.05
2021-10-04,1941.0,1955.0,1906.0,1932.0,372926185.0,0.15,0.85,0.25,0.35,0.55,0.3,0.6,0.45,0.4,0.3,0.1,0.05
2021-10-06,1931.0,1971.0,1910.0,1944.0,326550410.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-09,1948.0,1948.0,1847.0,1863.0,246309483.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-10,1799.0,1881.0,1799.0,1830.0,202202655.0,-0.35,0.85,-0.25,0.45,0.65,0.35,0.55,0.5,0.2,0.15,-0.3,-0.4
2021-10-11,1870.0,1879.0,1801.0,1831.0,177081163.0,-0.35,0.85,-0.4,0.25,0.55,0.15,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-12,1795.0,1814.0,1740.0,1744.0,411410456.0,-0.35,0.85,0.15,0.25,0.55,0.3,0.6,0.45,0.2,0.15,-0.25,-0.3
