Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,2955.0,2983.0,2822.0,2900.0,136372774.0,-0.23,0.85,0.15,0.38,0.58,0.35,0.62,0.48,0.28,0.18,-0.15,-0.12
2021-09-18,2900.0,2900.0,2755.0,2763.0,168787464.0,-0.35,0.85,-0.25,0.2,0.65,0.4,0.6,0.55,0.2,0.15,-0.3,-0.4
2021-09-19,2661.0,2802.0,2625.0,2650.0,261999768.0,-0.35,0.85,-0.25,0.45,0.65,0.35,0.55,0.5,0.2,0.15,-0.3,-0.4
2021-09-20,2620.0,2690.0,2582.0,2641.0,152522480.0,0.15,0.9,0.2,0.5,0.7,0.3,0.6,0.4,0.3,0.2,0.1,0.0
2021-09-21,2620.0,2622.0,2509.0,2522.0,121532028.0,-0.35,0.85,-0.45,0.55,0.65,0.3,0.6,0.5,0.25,0.15,-0.3,-0.4
2021-09-22,2521.0,2559.0,2396.0,2436.0,287804660.0,-0.35,0.85,-0.25,0.3,0.55,0.15,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-25,2481.0,2557.0,2461.0,2522.0,179261061.0,0.15,0.85,0.45,0.35,0.65,0.25,0.6,0.5,0.4,0.3,0.1,0.05
2021-09-26,2560.0,2560.0,2400.0,2460.0,122999682.0,0.15,0.85,0.45,0.55,0.65,0.35,0.6,0.5,0.4,0.3,0.1,0.05
2021-09-28,2402.0,2485.0,2337.0,2372.0,219969022.0,0.15,0.85,0.25,0.35,0.55,0.3,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-29,2345.0,2449.0,2345.0,2399.0,152753105.0,0.15,0.9,0.2,0.3,0.5,0.3,0.6,0.4,0.2,0.1,0.05,0.1
2021-10-02,2410.0,2450.0,2360.0,2399.0,173875992.0,-0.2,0.8,0.1,0.3,0.5,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-03,2382.0,2518.0,2345.0,2453.0,296772140.0,0.15,0.9,0.2,0.35,0.55,0.25,0.6,0.3,0.4,0.3,0.1,0.05
2021-10-04,2520.0,2560.0,2475.0,2523.0,165083795.0,0.15,0.85,0.45,0.25,0.65,0.35,0.6,0.5,0.4,0.3,0.2,0.1
2021-10-06,2530.0,2630.0,2500.0,2574.0,183771748.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-09,2580.0,2599.0,2446.0,2476.0,163359146.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-10,2403.0,2472.0,2373.0,2407.0,129006112.0,-0.3,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.2,0.1,-0.2,-0.3
2021-10-11,2450.0,2470.0,2350.0,2395.0,95535644.0,-0.35,0.85,-0.45,0.25,0.55,0.15,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-12,2330.0,2389.0,2276.0,2279.0,181259519.0,-0.35,0.85,-0.4,0.25,0.55,0.15,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-13,2210.0,2299.0,2166.0,2198.0,195527279.0,-0.2,0.7,0.1,0.3,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-16,2231.0,2304.0,2231.0,2275.0,110151536.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-17,2280.0,2280.0,2162.0,2183.0,185663473.0,-0.35,0.85,-0.4,0.25,0.65,0.3,0.6,0.55,0.2,0.15,-0.3,-0.4
2021-10-18,2160.0,2208.0,2081.0,2146.0,175899819.0,-0.2,0.7,0.1,0.3,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-19,2185.0,2253.0,2162.0,2237.0,170277096.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-20,2250.0,2270.0,2161.0,2207.0,88577735.0,0.1,0.9,0.2,0.3,0.5,0.4,0.6,0.5,0.4,0.3,0.1,0.2
2021-10-23,2129.0,2170.0,2097.0,2100.0,122401004.0,-0.35,0.85,-0.45,0.25,0.65,0.3,0.55,0.5,0.2,0.15,-0.3,-0.4
