Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,150620.0,159000.0,149960.0,150670.0,1934697.0,0.15,0.85,0.25,0.55,0.65,0.35,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-18,149900.0,152960.0,143140.0,144890.0,534100.0,0.15,0.85,0.05,0.35,0.65,0.25,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-19,137690.0,141800.0,137650.0,138050.0,910383.0,-0.2,0.9,0.1,0.3,0.5,0.1,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-20,132510.0,138000.0,131150.0,132030.0,1998138.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-21,130000.0,131020.0,125430.0,127220.0,301702.0,-0.35,0.85,-0.25,0.45,0.65,0.15,0.55,0.5,0.25,0.15,-0.3,-0.4
2021-09-22,120860.0,123000.0,120860.0,120870.0,948085.0,-0.25,0.85,0.15,0.55,0.65,0.15,0.6,0.5,0.25,0.2,-0.15,-0.3
2021-09-25,118000.0,126900.0,116020.0,123040.0,1698832.0,0.15,0.9,0.2,0.5,0.7,0.1,0.6,0.4,0.3,0.2,0.1,0.05
2021-09-26,126970.0,126970.0,116890.0,118480.0,968457.0,-0.35,0.85,0.15,0.55,0.65,0.15,0.6,0.5,0.25,0.1,-0.3,-0.4
2021-09-28,112560.0,116000.0,112560.0,112580.0,225185.0,0.15,0.85,0.05,0.25,0.55,0.15,0.6,0.35,0.2,0.1,0.05,0.1
2021-09-29,107100.0,117900.0,106960.0,111630.0,2189556.0,0.15,0.85,0.45,0.55,0.65,0.15,0.7,0.35,0.5,0.4,0.2,0.3
2021-10-02,115890.0,115890.0,106050.0,107730.0,1524652.0,-0.35,0.85,-0.45,0.25,0.55,0.15,0.6,0.5,0.2,0.15,-0.3,-0.4
2021-10-03,107730.0,107800.0,102350.0,103060.0,1441322.0,0.15,0.9,0.2,0.3,0.7,0.3,0.6,0.5,0.4,0.3,0.1,0.2
2021-10-04,103000.0,108210.0,101000.0,107120.0,755525.0,0.45,0.85,0.55,0.35,0.65,0.15,0.6,0.3,0.5,0.4,0.2,0.3
2021-10-06,112470.0,112470.0,112470.0,112470.0,353265.0,0.15,0.85,0.25,0.35,0.55,0.3,0.6,0.45,0.4,0.35,0.1,0.05
2021-10-09,118090.0,118090.0,112650.0,117340.0,2284296.0,0.15,0.9,0.45,0.35,0.65,0.25,0.6,0.35,0.4,0.3,0.05,0.1
2021-10-10,119600.0,123200.0,118000.0,121910.0,583047.0,0.15,0.85,0.25,0.55,0.65,0.15,0.7,0.35,0.45,0.3,0.05,0.1
2021-10-11,128000.0,128000.0,128000.0,127880.0,130741.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-12,134270.0,134270.0,121490.0,126420.0,4669106.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.4,0.3,-0.3,-0.4
2021-10-13,120100.0,123100.0,120100.0,120150.0,803230.0,0.15,0.7,0.1,0.3,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-16,114150.0,120440.0,114150.0,115140.0,1779280.0,0.15,0.7,0.1,0.2,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-10-17,111180.0,113800.0,109390.0,109910.0,873565.0,0.15,0.9,0.45,0.25,0.65,0.15,0.7,0.35,0.5,0.4,0.2,0.3
2021-10-18,106000.0,115400.0,106000.0,114420.0,941509.0,0.15,0.85,0.45,0.35,0.55,0.15,0.6,0.35,0.25,0.2,0.05,0.1
2021-10-19,118700.0,120100.0,109000.0,114060.0,1664193.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.1,0.2
2021-10-20,110010.0,114060.0,108360.0,109520.0,1243298.0,0.4,0.9,0.6,0.1,0.5,0.1,0.6,0.2,0.5,0.4,0.3,0.2
2021-10-23,107560.0,113460.0,104050.0,106450.0,828197.0,0.15,0.85,0.45,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-25,104250.0,111000.0,101130.0,105460.0,847099.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.1,0.05
2021-10-26,103450.0,107220.0,100190.0,101350.0,768201.0,0.15,0.9,0.1,0.35,0.55,0.15,0.6,0.45,0.25,0.2,0.05,0.1
2021-10-27,96290.0,99740.0,96290.0,96520.0,1829909.0,0.1,0.9,0.2,0.3,0.7,0.4,0.6,0.5,0.4,0.3,0.2,0.1
2021-10-30,97500.0,97500.0,91700.0,92560.0,349569.0,-0.35,0.85,0.15,0.25,0.65,0.15,0.55,0.45,0.2,0.15,-0.25,-0.3
2021-10-31,87940.0,87940.0,87940.0,90990.0,52961.0,0.15,0.9,0.1,0.2,0.7,0.1,0.6,0.5,0.2,0.1,0.05,0.1
2021-11-01,86450.0,93400.0,86450.0,88290.0,1207289.0,0.15,0.9,0.1,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.05,0.1
2021-11-02,84000.0,86800.0,83880.0,84450.0,1820358.0,0.4,0.9,0.5,0.1,0.5,0.1,0.6,0.2,0.4,0.3,0.2,0.3
2021-11-03,0.0,0.0,0.0,84450.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-06,0.0,0.0,0.0,84450.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-07,0.0,0.0,0.0,84450.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-08,0.0,0.0,0.0,84450.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-09,0.0,0.0,0.0,84450.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-10,0.0,0.0,0.0,84450.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-14,0.0,0.0,0.0,37280.0,0.0,-0.65,0.85,-0.55,0.25,0.7,0.15,0.6,0.55,0.1,0.05,-0.4,-0.5
2021-11-15,39140.0,39140.0,39140.0,38360.0,103372.0,0.15,0.7,0.25,0.2,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
