Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,6300.0,6350.0,6150.0,6250.0,133688166.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.3,0.4,0.25,0.1,0.05
2021-09-18,6200.0,6270.0,5940.0,6000.0,154012528.0,0.45,0.85,0.55,0.35,0.65,0.4,0.6,0.5,0.4,0.3,0.2,0.1
2021-09-19,5870.0,6140.0,5810.0,5930.0,137284688.0,0.15,0.85,0.25,0.55,0.65,0.35,0.6,0.45,0.4,0.3,0.1,0.05
2021-09-20,6000.0,6130.0,5920.0,6050.0,113826871.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.4,0.3,-0.1,-0.3
2021-09-21,6070.0,6080.0,5760.0,5850.0,140995652.0,0.15,0.85,0.25,0.55,0.65,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-22,5860.0,6140.0,5660.0,5970.0,212648429.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.4,0.3,0.05,0.1
2021-09-25,6260.0,6260.0,6200.0,6260.0,98084750.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.4,0.3,0.05,0.1
2021-09-26,6420.0,6570.0,6260.0,6440.0,282486305.0,-0.2,0.8,0.1,0.3,0.5,0.4,0.6,0.5,0.2,0.1,-0.1,-0.3
2021-09-28,6640.0,6760.0,6540.0,6700.0,333551369.0,-0.15,0.85,0.25,0.35,0.55,0.3,0.6,0.45,0.4,0.3,0.05,-0.1
2021-09-29,6600.0,6890.0,6510.0,6680.0,196806540.0,0.15,0.9,0.2,0.5,0.7,0.3,0.6,0.4,0.4,0.3,0.1,0.2
2021-10-02,6850.0,7010.0,6850.0,6990.0,364450835.0,0.45,0.85,0.55,0.35,0.65,0.4,0.6,0.3,0.5,0.4,0.2,0.3
2021-10-03,7100.0,7150.0,6790.0,6980.0,233004589.0,0.15,0.85,0.25,0.35,0.55,0.3,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-04,7190.0,7270.0,7050.0,7160.0,199816846.0,0.2,0.9,0.4,0.5,0.7,0.3,0.6,0.4,0.5,0.3,0.1,0.3
2021-10-06,7280.0,7380.0,7180.0,7290.0,170411528.0,0.45,0.9,0.55,0.3,0.7,0.4,0.6,0.35,0.5,0.4,0.2,0.3
2021-10-09,7250.0,7250.0,6930.0,6980.0,200394792.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.3,0.4,0.25,0.05,0.1
2021-10-10,6980.0,7230.0,6780.0,7010.0,269779226.0,0.15,0.9,0.2,0.3,0.7,0.4,0.6,0.5,0.4,0.3,0.1,0.2
2021-10-11,7090.0,7160.0,6730.0,6920.0,155165969.0,0.15,0.85,0.25,0.35,0.55,0.3,0.6,0.45,0.4,0.35,0.1,0.05
2021-10-12,6770.0,6800.0,6580.0,6590.0,242604435.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.4,0.3,-0.3,-0.4
2021-10-13,6500.0,6710.0,6270.0,6390.0,245384485.0,-0.1,0.9,0.2,0.5,0.7,0.3,0.6,0.5,0.4,0.3,0.1,0.0
2021-10-16,6630.0,6700.0,6570.0,6700.0,119225120.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.2,0.1
2021-10-17,6880.0,6890.0,6520.0,6690.0,142825479.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-18,6570.0,6830.0,6480.0,6690.0,170143413.0,0.1,0.9,0.2,0.3,0.7,0.3,0.6,0.5,0.4,0.3,0.1,0.2
2021-10-19,6840.0,6860.0,6680.0,6740.0,106347296.0,-0.15,0.85,0.25,0.55,0.65,0.35,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-20,6610.0,6710.0,6500.0,6600.0,100372396.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-23,6390.0,6480.0,6270.0,6280.0,59792796.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-25,6190.0,6260.0,5970.0,6040.0,169468737.0,-0.15,0.85,0.05,0.35,0.55,0.25,0.6,0.45,0.25,0.15,-0.05,-0.1
2021-10-26,6000.0,6230.0,5960.0,6070.0,95641499.0,0.15,0.9,0.1,0.35,0.55,0.15,0.6,0.3,0.4,0.25,0.05,0.1
2021-10-27,6080.0,6320.0,6020.0,6180.0,80758310.0,0.15,0.85,0.25,0.55,0.65,0.15,0.7,0.45,0.4,0.3,0.05,0.1
2021-10-30,6220.0,6280.0,5880.0,6010.0,104058767.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-31,5880.0,5950.0,5710.0,5740.0,144840301.0,-0.3,0.9,-0.4,0.2,0.7,0.3,0.6,0.5,0.2,0.1,-0.2,-0.3
2021-11-01,5960.0,6020.0,5920.0,6010.0,51805335.0,-0.2,0.7,0.1,0.3,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-11-02,6130.0,6310.0,6070.0,6260.0,165129255.0,-0.15,0.85,0.25,0.55,0.65,0.35,0.6,0.45,0.4,0.3,-0.05,-0.1
2021-11-03,6340.0,6570.0,6200.0,6420.0,115425443.0,0.15,0.85,0.45,0.55,0.7,0.35,0.6,0.4,0.5,0.3,0.2,0.1
2021-11-06,6550.0,6740.0,6530.0,6720.0,145407109.0,0.45,0.85,0.55,0.35,0.65,0.4,0.6,0.3,0.5,0.4,0.2,0.3
2021-11-07,6720.0,6880.0,6390.0,6590.0,166697831.0,-0.2,0.85,0.1,0.35,0.65,0.25,0.6,0.45,0.4,0.3,0.05,-0.1
2021-11-08,6400.0,6710.0,6390.0,6570.0,113806498.0,0.15,0.85,0.25,0.35,0.65,0.35,0.6,0.45,0.4,0.3,0.1,0.05
2021-11-09,6700.0,6890.0,6660.0,6880.0,310046549.0,0.45,0.85,0.55,0.25,0.65,0.35,0.6,0.3,0.5,0.4,0.2,0.3
2021-11-10,7040.0,7160.0,6850.0,6970.0,197505008.0,0.42,0.85,0.55,0.38,0.62,0.18,0.58,0.35,0.45,0.28,0.12,0.05
2021-11-13,6730.0,6960.0,6640.0,6820.0,169979554.0,0.1,0.9,0.2,0.3,0.7,0.4,0.6,0.5,0.4,0.3,0.2,0.1
2021-11-14,6950.0,7010.0,6730.0,6870.0,97981181.0,0.15,0.85,0.25,0.35,0.65,0.4,0.6,0.45,0.4,0.3,0.05,0.1
2021-11-15,6780.0,6800.0,6530.0,6630.0,122725868.0,-0.2,0.7,0.1,0.5,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-11-16,6510.0,6790.0,6500.0,6690.0,87448494.0,0.15,0.9,0.2,0.5,0.7,0.4,0.6,0.3,0.4,0.3,0.1,0.2
2021-11-17,6760.0,6830.0,6610.0,6700.0,70724538.0,0.15,0.85,0.25,0.55,0.65,0.35,0.6,0.45,0.4,0.3,0.05,0.1
2021-11-20,6650.0,6650.0,6370.0,6400.0,169943461.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-11-21,6370.0,6560.0,6240.0,6410.0,101300030.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.4,0.3,0.05,0.1
