Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,13060.0,13060.0,12640.0,12810.0,90270557.0,-0.15,0.85,0.25,0.55,0.65,0.3,0.6,0.45,0.35,0.25,-0.05,-0.1
2021-09-18,13000.0,13190.0,12520.0,12870.0,123529535.0,0.15,0.85,0.25,0.55,0.65,0.4,0.7,0.35,0.45,0.3,0.1,0.05
2021-09-19,12920.0,13170.0,12560.0,12870.0,114685691.0,0.15,0.9,0.2,0.5,0.7,0.3,0.6,0.4,0.4,0.3,0.1,0.2
2021-09-20,13130.0,13170.0,12850.0,12970.0,69226423.0,0.1,0.9,0.2,0.6,0.7,0.3,0.8,0.5,0.4,0.3,0.1,0.2
2021-09-21,12930.0,12990.0,12330.0,12440.0,115275085.0,-0.15,0.85,0.1,0.35,0.55,0.25,0.6,0.45,0.4,0.3,-0.05,-0.1
2021-09-22,12500.0,12640.0,12010.0,12330.0,93379022.0,-0.15,0.85,0.1,0.55,0.65,0.35,0.6,0.45,0.25,0.15,-0.05,-0.1
2021-09-25,12620.0,12890.0,12530.0,12740.0,74946067.0,-0.15,0.85,0.25,0.55,0.65,0.3,0.6,0.45,0.4,0.35,0.05,-0.1
2021-09-26,12860.0,12900.0,12400.0,12590.0,54585215.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-28,12590.0,12840.0,12400.0,12530.0,49817707.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.4,0.3,-0.3,-0.4
2021-09-29,12420.0,12860.0,12410.0,12650.0,65611416.0,0.1,0.9,0.2,0.5,0.7,0.3,0.6,0.4,0.2,0.1,0.05,0.1
2021-10-02,12800.0,13230.0,12710.0,13030.0,84338414.0,0.15,0.85,0.25,0.35,0.6,0.3,0.55,0.45,0.4,0.3,0.1,0.05
2021-10-03,13000.0,13110.0,12820.0,12990.0,76158000.0,0.15,0.9,0.2,0.6,0.7,0.4,0.8,0.3,0.4,0.3,0.1,0.2
2021-10-04,13000.0,13240.0,12960.0,13130.0,43827789.0,0.15,0.85,0.25,0.35,0.55,0.3,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-06,13130.0,13200.0,12970.0,13020.0,55051327.0,-0.2,0.9,0.1,0.2,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-09,13210.0,13370.0,12910.0,13130.0,120979142.0,0.15,0.9,0.1,0.35,0.55,0.25,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-10,13010.0,13100.0,12900.0,13000.0,60005323.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-11,13130.0,13240.0,12850.0,12990.0,56385931.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-12,12900.0,12900.0,12350.0,12440.0,98011403.0,-0.1,0.85,0.2,0.35,0.65,0.3,0.6,0.45,0.25,0.15,-0.05,-0.1
2021-10-13,12370.0,12600.0,12040.0,12230.0,66485175.0,0.15,0.85,0.25,0.35,0.55,0.4,0.6,0.45,0.2,0.15,-0.05,-0.1
2021-10-16,12540.0,12840.0,12540.0,12830.0,54786346.0,0.45,0.85,0.55,0.35,0.65,0.4,0.7,0.3,0.5,0.4,0.2,0.3
2021-10-17,13100.0,13190.0,12880.0,13000.0,203521730.0,-0.2,0.9,0.1,0.3,0.7,0.1,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-18,0.0,0.0,0.0,13000.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-19,0.0,0.0,0.0,13000.0,0.0,0.1,0.9,0.2,0.3,0.5,0.3,0.6,0.4,0.2,0.1,0.0,0.1
2021-10-20,0.0,0.0,0.0,11650.0,0.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-23,0.0,0.0,0.0,11650.0,0.0,-0.3,0.8,0.2,0.4,0.6,0.2,0.5,0.4,0.3,0.2,-0.1,-0.2
2021-10-25,0.0,0.0,0.0,11650.0,0.0,-0.3,0.9,0.1,0.2,0.7,0.4,0.6,0.5,0.2,0.1,-0.2,-0.3
2021-10-26,0.0,0.0,0.0,11650.0,0.0,-0.2,0.8,0.1,0.3,0.5,0.3,0.6,0.4,0.2,0.1,-0.3,-0.4
2021-10-27,0.0,0.0,0.0,11650.0,0.0,0.45,0.85,0.55,0.25,0.65,0.35,0.6,0.3,0.4,0.35,0.2,0.3
2021-10-30,0.0,0.0,0.0,11650.0,0.0,-0.2,0.9,0.1,0.2,0.7,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-31,0.0,0.0,0.0,11650.0,0.0,0.15,0.85,0.25,0.35,0.55,0.3,0.6,0.45,0.4,0.3,0.05,0.1
