Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,387000.0,387000.0,379630.0,382030.0,168748.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-18,383940.0,389990.0,379000.0,382760.0,298294.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-19,384400.0,396780.0,377520.0,384670.0,551858.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-20,389600.0,389600.0,379010.0,385240.0,295353.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-21,380010.0,383270.0,375550.0,377800.0,325739.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-25,387990.0,392000.0,378100.0,389640.0,415121.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-26,390000.0,391900.0,380000.0,388420.0,173897.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-28,390000.0,390480.0,385250.0,388340.0,142725.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-29,384000.0,396010.0,384000.0,393450.0,849311.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-02,400700.0,413120.0,400700.0,412720.0,1319907.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-03,429260.0,433350.0,416550.0,427310.0,1044719.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-04,422000.0,430000.0,415000.0,422510.0,444780.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-06,422510.0,443630.0,422510.0,439390.0,739633.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-09,459900.0,459900.0,428000.0,448590.0,676680.0,0.1,0.7,0.2,0.2,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-10-10,441280.0,456490.0,436300.0,447250.0,426888.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-11,447610.0,465000.0,446800.0,454080.0,537281.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-12,460000.0,460000.0,432500.0,440590.0,802668.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-13,440570.0,450630.0,436000.0,442190.0,374401.0,0.1,0.9,0.2,0.1,0.4,0.1,0.4,0.3,0.2,0.1,0.0,0.1
2021-10-16,450800.0,464290.0,450800.0,463230.0,583205.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-17,471010.0,471020.0,456160.0,460210.0,582040.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-18,472000.0,483200.0,462010.0,469800.0,1048535.0,0.15,0.85,0.25,0.2,0.55,0.35,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-19,481000.0,483000.0,473830.0,477720.0,551329.0,0.15,0.7,0.25,0.1,0.4,0.1,0.4,0.3,0.2,0.15,0.05,0.1
2021-10-20,482660.0,482670.0,453840.0,462090.0,556348.0,0.42,0.85,0.55,0.25,0.65,0.35,0.7,0.3,0.5,0.4,0.15,0.3
2021-10-23,438990.0,438990.0,438990.0,440800.0,199420.0,0.1,0.2,0.4,0.1,0.3,0.1,0.2,0.2,0.1,0.1,0.0,0.1
2021-10-25,418760.0,418760.0,418760.0,423770.0,167259.0,0.1,0.6,0.2,0.1,0.4,0.1,0.3,0.2,0.1,0.1,0.0,0.1
2021-10-26,402590.0,415740.0,402590.0,403770.0,2256778.0,0.15,0.7,0.1,0.2,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-10-27,402500.0,415000.0,393000.0,403170.0,466401.0,0.15,0.6,0.1,0.2,0.4,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-10-30,403470.0,403470.0,383020.0,388230.0,1096789.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-31,0.0,0.0,0.0,388230.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-01,0.0,0.0,0.0,388230.0,0.0,0.15,0.85,0.45,0.25,0.55,0.35,0.6,0.2,0.4,0.3,0.1,0.05
