Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,235000.0,241800.0,229130.0,229810.0,782672.0,-0.2,0.9,0.1,0.3,0.7,0.1,0.6,0.5,0.4,0.3,-0.3,-0.4
2021-09-18,219500.0,229630.0,218320.0,219410.0,239668.0,0.15,0.85,0.25,0.35,0.55,0.25,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-19,208440.0,213640.0,208440.0,208650.0,387870.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.1,0.05
2021-09-20,198220.0,207160.0,198220.0,198570.0,697698.0,0.15,0.85,0.45,0.35,0.65,0.25,0.6,0.5,0.25,0.15,-0.05,-0.1
2021-09-21,188650.0,195000.0,188650.0,189050.0,564380.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-22,179600.0,198500.0,179600.0,191790.0,1176972.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-25,201000.0,201370.0,195200.0,200810.0,1135300.0,0.15,0.7,0.45,0.35,0.55,0.25,0.6,0.5,0.4,0.3,0.1,0.05
2021-09-26,208830.0,209800.0,192670.0,203750.0,1023123.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.1,0.05
2021-09-28,193570.0,200000.0,193570.0,195030.0,545703.0,0.15,0.7,0.1,0.2,0.5,0.3,0.6,0.5,0.2,0.1,0.05,0.1
2021-09-29,186200.0,191000.0,185280.0,185760.0,751025.0,0.1,0.4,0.2,0.1,0.3,0.1,0.3,0.2,0.1,0.1,0.05,0.1
2021-10-02,182950.0,192040.0,179610.0,185590.0,535436.0,-0.35,0.85,0.15,0.25,0.65,0.15,0.6,0.5,0.2,0.15,-0.25,-0.3
2021-10-03,179000.0,182980.0,176320.0,176660.0,180924.0,0.15,0.85,0.45,0.35,0.65,0.25,0.6,0.5,0.4,0.3,0.2,0.1
2021-10-04,185470.0,185470.0,176330.0,181040.0,499662.0,0.1,0.9,0.2,0.3,0.7,0.1,0.6,0.5,0.2,0.1,-0.3,-0.1
2021-10-06,189500.0,190090.0,181200.0,189760.0,1503561.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.2,0.1,-0.05,-0.1
2021-10-09,190100.0,190100.0,180280.0,182280.0,202211.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.1,0.05
