Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,3820.0,3820.0,3647.0,3693.0,12516460.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-18,3710.0,3780.0,3509.0,3531.0,17692212.0,0.4,0.6,0.5,0.3,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.3
2021-09-19,3500.0,3510.0,3355.0,3382.0,13058042.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-20,3320.0,3449.0,3313.0,3376.0,8468223.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-21,3300.0,3440.0,3208.0,3231.0,18036537.0,0.15,0.7,0.25,0.1,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-22,3202.0,3251.0,3070.0,3111.0,14404120.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-25,3238.0,3265.0,3151.0,3222.0,7434473.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-26,3241.0,3298.0,3070.0,3177.0,8746460.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-28,3215.0,3248.0,3100.0,3148.0,8589594.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-29,3200.0,3220.0,3102.0,3163.0,7056131.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-02,3200.0,3230.0,3120.0,3173.0,9300058.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-03,3200.0,3200.0,3040.0,3085.0,11365998.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-04,3140.0,3190.0,3080.0,3156.0,6457700.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-06,3125.0,3219.0,3111.0,3171.0,12742958.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-09,3171.0,3210.0,3020.0,3110.0,7994112.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-10,3019.0,3060.0,2962.0,3008.0,8057245.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-11,2990.0,3098.0,2990.0,3027.0,6594408.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-12,3025.0,3025.0,2876.0,2892.0,14816127.0,0.15,0.85,0.45,0.25,0.65,0.15,0.6,0.35,0.5,0.4,0.3,0.2
2021-10-13,2800.0,2869.0,2748.0,2767.0,7815861.0,0.15,0.7,0.1,0.2,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-10-16,2880.0,2905.0,2780.0,2892.0,8170615.0,0.1,0.4,0.2,0.1,0.3,0.1,0.3,0.2,0.1,0.1,0.0,0.0
2021-10-17,2955.0,2955.0,2748.0,2790.0,8779407.0,0.1,0.7,0.2,0.2,0.5,0.1,0.6,0.5,0.2,0.1,-0.2,-0.1
2021-10-18,2750.0,2784.0,2651.0,2676.0,10069623.0,-0.35,0.85,-0.25,0.15,0.55,0.35,0.6,0.5,0.1,0.15,-0.3,-0.4
2021-10-19,2770.0,2809.0,2660.0,2792.0,15719790.0,-0.4,0.6,-0.2,0.1,0.4,0.1,0.4,0.3,0.1,0.1,-0.3,-0.3
2021-10-20,2845.0,2845.0,2705.0,2785.0,9904079.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-23,2780.0,2799.0,2646.0,2670.0,9984192.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-25,2552.0,2700.0,2537.0,2564.0,16389823.0,-0.35,0.7,-0.4,0.2,0.5,0.1,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-26,2450.0,2692.0,2450.0,2664.0,22324786.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-27,2690.0,2739.0,2660.0,2695.0,10062596.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-30,2717.0,2717.0,2561.0,2584.0,12286020.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-31,2502.0,2670.0,2455.0,2494.0,20754766.0,0.1,0.6,0.2,0.2,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.1
