Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,3679.0,3768.0,3599.0,3700.0,54961590.0,0.15,0.7,0.1,0.3,0.5,0.3,0.6,0.5,0.2,0.1,0.05,0.1
2021-09-18,3749.0,3840.0,3603.0,3714.0,56684698.0,0.15,0.7,0.1,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.05,0.1
2021-09-19,3700.0,3820.0,3560.0,3685.0,40539476.0,0.15,0.7,0.25,0.1,0.4,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-09-20,3650.0,3797.0,3650.0,3705.0,39258948.0,-0.35,0.85,-0.25,0.25,0.55,0.15,0.6,0.45,0.2,0.15,-0.3,-0.4
2021-09-21,3740.0,3810.0,3555.0,3671.0,45390009.0,0.1,0.7,0.2,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-09-22,3670.0,3700.0,3488.0,3525.0,57077538.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-25,3630.0,3701.0,3601.0,3688.0,30301841.0,0.15,0.7,0.45,0.1,0.4,0.1,0.6,0.2,0.4,0.3,0.2,0.1
2021-09-26,3780.0,3820.0,3650.0,3718.0,26536154.0,0.15,0.7,0.1,0.2,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-09-28,3667.0,3835.0,3667.0,3780.0,40087440.0,0.1,0.7,0.2,0.1,0.4,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-09-29,3730.0,3840.0,3650.0,3762.0,31203363.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.5,0.6,0.4,0.2,0.3
2021-10-02,3700.0,3844.0,3630.0,3730.0,31321769.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.25,0.15,0.05,0.1
2021-10-03,3630.0,3700.0,3544.0,3579.0,38997604.0,-0.3,0.6,-0.4,0.1,0.5,0.1,0.4,0.5,0.1,0.1,-0.2,-0.3
2021-10-04,3600.0,3678.0,3544.0,3600.0,29213846.0,0.1,0.6,0.2,0.1,0.4,0.1,0.3,0.3,0.2,0.1,-0.2,-0.1
2021-10-06,3590.0,3600.0,3500.0,3529.0,26644166.0,0.15,0.55,0.45,0.1,0.4,0.15,0.4,0.25,0.2,0.1,0.05,0.1
2021-10-09,3503.0,3505.0,3353.0,3403.0,35488930.0,0.15,0.7,0.1,0.3,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-10-10,3410.0,3449.0,3236.0,3310.0,24941269.0,0.15,0.7,0.1,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.1,0.2
2021-10-11,3300.0,3447.0,3300.0,3377.0,28168406.0,0.15,0.7,0.25,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.05,0.1
2021-10-12,3250.0,3339.0,3209.0,3217.0,12343023.0,0.15,0.6,0.1,0.2,0.4,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-10-13,3080.0,3190.0,3057.0,3069.0,16350956.0,0.1,0.6,0.2,0.2,0.4,0.1,0.4,0.3,0.2,0.1,0.0,0.1
2021-10-16,3000.0,3210.0,3000.0,3132.0,25167520.0,0.15,0.85,0.45,0.25,0.55,0.15,0.6,0.35,0.25,0.15,0.05,0.1
2021-10-17,3190.0,3190.0,2976.0,3017.0,27971439.0,0.15,0.85,0.45,0.35,0.65,0.25,0.6,0.5,0.4,0.3,0.05,0.1
2021-10-18,2900.0,2950.0,2867.0,2876.0,25200869.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.3,0.4,0.25,0.05,0.1
2021-10-19,2930.0,3019.0,2920.0,3007.0,43706348.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-20,3066.0,3157.0,3050.0,3143.0,63620345.0,0.15,0.7,0.1,0.2,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-10-23,3167.0,3300.0,3000.0,3188.0,41428146.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-25,3260.0,3260.0,3029.0,3070.0,29799604.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-26,3029.0,3223.0,3000.0,3192.0,45040932.0,0.1,0.9,0.2,0.2,0.5,0.1,0.6,0.5,0.2,0.1,0.0,0.1
2021-10-27,3327.0,3351.0,3220.0,3308.0,28585240.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-30,3270.0,3330.0,3160.0,3235.0,31745789.0,0.15,0.7,0.25,0.1,0.4,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-31,3236.0,3300.0,3074.0,3143.0,17314725.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-01,3061.0,3300.0,3060.0,3161.0,27002074.0,0.15,0.85,0.25,0.35,0.65,0.15,0.55,0.45,0.4,0.3,0.05,0.1
2021-11-02,3170.0,3264.0,3110.0,3207.0,27044029.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-03,3210.0,3325.0,3180.0,3270.0,29134728.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-06,3310.0,3433.0,3310.0,3417.0,46160923.0,0.15,0.85,0.45,0.25,0.55,0.15,0.6,0.35,0.4,0.3,0.2,0.1
2021-11-07,3439.0,3530.0,3300.0,3394.0,34620139.0,0.15,0.7,0.1,0.1,0.4,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-11-08,3400.0,3526.0,3300.0,3404.0,29386984.0,0.1,0.9,0.2,0.2,0.5,0.3,0.6,0.5,0.2,0.1,-0.2,-0.1
2021-11-09,3313.0,3520.0,3313.0,3431.0,24855347.0,0.1,0.6,0.2,0.1,0.4,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-11-10,3360.0,3600.0,3360.0,3529.0,41217367.0,0.15,0.7,0.1,0.3,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-11-13,3420.0,3580.0,3370.0,3480.0,33172522.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-14,3481.0,3650.0,3440.0,3546.0,31298308.0,0.42,0.85,0.55,0.15,0.65,0.1,0.6,0.25,0.5,0.35,0.4,0.3
2021-11-15,3540.0,3600.0,3369.0,3426.0,28063884.0,0.1,0.6,0.2,0.1,0.5,0.1,0.4,0.3,0.2,0.1,0.0,0.1
2021-11-16,3369.0,3400.0,3255.0,3272.0,35394029.0,0.4,0.7,0.2,0.1,0.3,0.1,0.4,0.2,0.2,0.1,0.1,
2021-11-17,3202.0,3370.0,3202.0,3329.0,25143552.0,0.15,0.7,0.45,0.1,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-11-20,3355.0,3470.0,3300.0,3371.0,25864635.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-21,3311.0,3440.0,3225.0,3358.0,19254927.0,0.4,0.6,0.5,0.1,0.3,0.1,0.4,0.2,0.3,0.2,0.1,0.2
2021-11-22,3395.0,3525.0,3395.0,3518.0,49695164.0,0.15,0.7,0.1,0.1,0.4,0.1,0.4,0.2,0.2,0.1,0.05,0.1
2021-11-23,3550.0,3648.0,3501.0,3583.0,34639738.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.3,0.4,0.25,0.05,0.1
