Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,11220.0,11330.0,11100.0,11220.0,63440038.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.4,0.3,0.05,0.1
2021-09-18,11140.0,11150.0,10660.0,10710.0,110358481.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-19,10450.0,10880.0,10290.0,10440.0,77340350.0,-0.25,0.85,0.15,0.55,0.65,0.35,0.6,0.5,0.25,0.15,-0.3,-0.4
2021-09-20,10410.0,10590.0,10390.0,10480.0,66306057.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.4,0.3,0.05,0.1
2021-09-21,10480.0,10580.0,9980.0,10140.0,86617042.0,-0.15,0.85,0.05,0.55,0.65,0.35,0.6,0.45,0.25,0.15,-0.05,-0.1
2021-09-22,10160.0,10280.0,9920.0,10100.0,98950600.0,-0.35,0.85,0.15,0.25,0.55,0.15,0.6,0.45,0.2,0.1,-0.25,-0.3
2021-09-25,10280.0,10600.0,10280.0,10550.0,101417753.0,0.15,0.85,0.25,0.55,0.65,0.35,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-26,10750.0,10750.0,10350.0,10500.0,48809259.0,0.15,0.85,0.25,0.55,0.65,0.35,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-28,10600.0,10600.0,10350.0,10440.0,43601832.0,0.15,0.85,0.25,0.35,0.65,0.35,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-29,10410.0,10660.0,10380.0,10480.0,61996626.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.3,0.4,0.25,0.05,0.1
2021-10-02,10590.0,11000.0,10590.0,10900.0,127159011.0,0.15,0.85,0.25,0.55,0.65,0.15,0.7,0.35,0.45,0.3,0.2,0.1
2021-10-03,10870.0,11020.0,10700.0,10860.0,64915676.0,0.15,0.85,0.25,0.55,0.65,0.15,0.6,0.35,0.45,0.3,0.05,0.1
2021-10-04,10890.0,10960.0,10720.0,10830.0,40935944.0,0.15,0.85,0.05,0.55,0.65,0.15,0.7,0.45,0.4,0.25,0.05,0.1
2021-10-06,10820.0,10840.0,10600.0,10670.0,71842154.0,-0.35,0.85,0.15,0.55,0.65,0.25,0.6,0.5,0.25,0.15,-0.25,-0.3
2021-10-09,10620.0,10720.0,10260.0,10380.0,60522468.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
