Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,108300.0,108550.0,105520.0,107490.0,2564191.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-18,108300.0,108300.0,102450.0,104630.0,3520734.0,0.4,0.9,0.5,0.1,0.5,0.1,0.6,0.2,0.4,0.3,0.2,0.3
2021-09-19,104500.0,106800.0,101900.0,103620.0,3293551.0,0.1,0.2,0.5,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,
2021-09-20,102510.0,106000.0,102380.0,103630.0,3129839.0,0.15,0.7,0.4,0.1,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-09-21,98600.0,102600.0,98460.0,99220.0,4035171.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.3,0.4,0.25,0.05,0.1
2021-09-22,100000.0,101560.0,96000.0,98750.0,4741442.0,-0.7,0.4,-0.6,0.1,0.3,0.1,0.2,0.5,0.1,0.1,-0.4,-0.3
2021-09-25,101890.0,103680.0,101500.0,103550.0,6188422.0,0.1,0.6,0.2,0.1,0.4,0.1,0.4,0.2,0.2,0.1,0.05,0.1
2021-09-26,105800.0,105990.0,103220.0,104400.0,2985827.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-28,104860.0,106740.0,103000.0,104590.0,3059990.0,0.45,0.7,0.25,0.2,0.55,0.15,0.6,0.35,0.4,0.25,0.1,0.3
2021-09-29,104010.0,109700.0,103860.0,107900.0,5266894.0,0.15,0.7,0.45,0.25,0.55,0.15,0.6,0.35,0.4,0.3,0.2,0.1
2021-10-02,109100.0,113290.0,109100.0,112900.0,11201108.0,0.4,0.9,0.5,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.3
2021-10-03,112000.0,116200.0,108500.0,112240.0,6190888.0,0.15,0.85,0.25,0.55,0.65,0.15,0.7,0.35,0.45,0.3,0.2,0.1
2021-10-04,111900.0,113300.0,109000.0,111500.0,3854246.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.35,0.5,0.4,0.25,0.3
2021-10-06,111710.0,113590.0,109780.0,111550.0,5410291.0,0.15,0.6,0.45,0.25,0.4,0.1,0.55,0.35,0.2,0.15,0.05,0.1
2021-10-09,113300.0,113300.0,106680.0,108420.0,4238387.0,0.15,0.7,0.4,0.5,0.55,0.1,0.6,0.35,0.4,0.3,0.05,0.1
2021-10-10,106240.0,111250.0,104100.0,107550.0,3286319.0,0.15,0.7,0.1,0.5,0.55,0.1,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-11,109990.0,111500.0,107800.0,109310.0,1928120.0,0.15,0.6,0.1,0.2,0.4,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-10-12,107720.0,108900.0,103850.0,104820.0,3883866.0,0.15,0.85,0.45,0.35,0.65,0.25,0.6,0.5,0.4,0.3,0.1,0.05
2021-10-13,103000.0,105000.0,100710.0,102550.0,3931358.0,0.15,0.7,0.1,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.05,0.1
2021-10-16,104100.0,107670.0,104100.0,107550.0,3793151.0,0.15,0.7,0.1,0.3,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-17,111170.0,111200.0,107560.0,109620.0,4287641.0,0.1,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,
2021-10-18,108410.0,111500.0,107710.0,110300.0,3371490.0,0.15,0.7,0.45,0.1,0.4,0.1,0.6,0.2,0.4,0.3,0.2,0.1
2021-10-19,111440.0,111500.0,110300.0,111250.0,2586857.0,0.4,0.7,0.5,0.1,0.3,0.1,0.6,0.2,0.4,0.3,0.2,0.1
2021-10-20,111980.0,111980.0,109800.0,110200.0,2190749.0,0.15,0.7,0.1,0.3,0.5,0.1,0.4,0.2,0.2,0.1,0.05,0.1
2021-10-23,110100.0,110100.0,104690.0,105630.0,4329081.0,0.1,0.4,0.6,0.1,0.3,0.1,0.3,0.2,0.1,0.1,0.0,0.1
2021-10-25,104400.0,105610.0,103000.0,103670.0,2442834.0,0.15,0.9,0.1,0.2,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-10-26,103700.0,108000.0,103700.0,106760.0,2796907.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-27,108860.0,110000.0,107960.0,108840.0,1754593.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-30,108370.0,109970.0,106500.0,108230.0,3719859.0,0.45,0.85,0.55,0.25,0.65,0.15,0.6,0.35,0.4,0.3,0.1,0.25
2021-10-31,109500.0,110000.0,104500.0,106800.0,3381710.0,0.42,0.85,0.55,0.15,0.4,0.1,0.6,0.2,0.45,0.3,0.25,0.35
2021-11-01,108200.0,111830.0,108200.0,110250.0,2602437.0,0.42,0.85,0.55,0.35,0.65,0.15,0.6,0.25,0.45,0.3,0.25,0.4
2021-11-02,110800.0,112000.0,109750.0,111300.0,4675605.0,0.15,0.7,0.1,0.2,0.4,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-11-03,111900.0,116800.0,111900.0,114410.0,6315333.0,0.15,0.85,0.45,0.55,0.65,0.15,0.6,0.35,0.4,0.3,0.05,0.1
2021-11-06,116500.0,120130.0,116490.0,119670.0,4317778.0,0.15,0.7,0.45,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-11-07,124000.0,125450.0,120000.0,122660.0,8677606.0,0.15,0.85,0.05,0.55,0.65,0.15,0.7,0.45,0.4,0.3,0.05,0.1
2021-11-08,122600.0,128790.0,121000.0,127850.0,12609760.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.5,0.4,0.2,0.3
2021-11-09,129000.0,131000.0,126000.0,128410.0,8205527.0,0.15,0.85,0.25,0.55,0.65,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-11-10,127100.0,127100.0,122810.0,124360.0,5924271.0,-0.15,0.85,0.05,0.55,0.65,0.15,0.6,0.45,0.25,0.15,-0.05,-0.1
2021-11-13,121880.0,124400.0,119150.0,121540.0,5407792.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.1,0.05
2021-11-14,123100.0,126650.0,121540.0,124600.0,3852830.0,0.15,0.7,0.25,0.3,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-15,125700.0,125800.0,120050.0,121890.0,2761005.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-16,120500.0,124000.0,118630.0,120920.0,3294172.0,0.15,0.7,0.1,0.2,0.4,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-11-17,122980.0,123630.0,121000.0,122190.0,1899353.0,0.4,0.7,0.5,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.3
2021-11-20,123450.0,123450.0,116890.0,118740.0,3396755.0,0.15,0.9,0.1,0.6,0.7,0.1,0.7,0.5,0.4,0.3,0.05,0.1
2021-11-21,117880.0,122580.0,116940.0,119240.0,2781690.0,0.6,0.9,0.5,0.2,0.4,0.1,0.6,0.2,0.5,0.4,0.3,0.4
2021-11-22,122900.0,123470.0,119330.0,121360.0,3613582.0,0.15,0.7,0.1,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.05,0.1
2021-11-23,120900.0,122500.0,118860.0,120100.0,2043450.0,0.15,0.6,0.1,0.1,0.4,0.1,0.4,0.2,0.3,0.2,0.05,0.1
2021-11-24,120000.0,120000.0,117280.0,118180.0,2299784.0,0.15,0.7,0.1,0.2,0.5,0.3,0.6,0.3,0.2,0.1,0.05,0.1
2021-11-27,117620.0,117620.0,112280.0,114240.0,4245738.0,0.15,0.7,0.25,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.1,0.05
2021-11-28,112430.0,116400.0,112430.0,114960.0,2140733.0,0.15,0.7,0.25,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.1,0.05
2021-11-29,116340.0,118000.0,113000.0,115350.0,2817279.0,-0.3,0.7,-0.2,0.2,0.5,0.3,0.6,0.5,0.2,0.1,-0.2,-0.3
2021-11-30,114900.0,114900.0,109590.0,111240.0,5060281.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-12-01,110940.0,112100.0,106600.0,108070.0,3670773.0,-0.25,0.7,0.15,0.35,0.55,0.15,0.6,0.45,0.25,0.15,-0.15,-0.3
2021-12-04,109930.0,111480.0,107020.0,108460.0,3423445.0,0.15,0.7,0.1,0.5,0.55,0.15,0.6,0.35,0.25,0.2,0.05,0.1
2021-12-05,109000.0,111770.0,109000.0,110440.0,1971604.0,0.15,0.85,0.25,0.55,0.65,0.35,0.6,0.45,0.4,0.3,0.05,0.1
2021-12-06,110510.0,110900.0,108270.0,110080.0,2805694.0,0.15,0.7,0.1,0.2,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-12-07,108760.0,109980.0,106920.0,107990.0,2750171.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.2,0.1
2021-12-08,108000.0,109900.0,107790.0,108820.0,1298297.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-11,109500.0,109500.0,106950.0,107770.0,1852190.0,0.15,0.7,0.1,0.3,0.5,0.3,0.6,0.5,0.4,0.3,0.1,0.05
