Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,9390.0,9390.0,9000.0,9160.0,15657755.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-18,9170.0,9270.0,8710.0,8780.0,29383345.0,0.15,0.4,0.1,0.1,0.3,0.1,0.3,0.2,0.2,0.1,0.05,0.1
2021-09-19,8500.0,8840.0,8350.0,8460.0,29283946.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-20,8460.0,8810.0,8460.0,8620.0,21886617.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-21,8570.0,8620.0,8190.0,8250.0,25486551.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-22,8290.0,8450.0,7850.0,8070.0,20603818.0,0.15,0.55,0.45,0.1,0.4,0.15,0.4,0.25,0.2,0.1,0.05,0.1
2021-09-25,8200.0,8470.0,8200.0,8450.0,20544331.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-26,8580.0,8580.0,8250.0,8370.0,11352364.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-28,8210.0,8560.0,8210.0,8440.0,11913774.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-29,8380.0,8520.0,8260.0,8380.0,13804443.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-02,8540.0,8660.0,8270.0,8460.0,16046449.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-03,8490.0,8650.0,8310.0,8480.0,22092248.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
