Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,5640.0,5790.0,5550.0,5610.0,34870289.0,-0.2,0.7,0.1,0.3,0.5,0.1,0.6,0.5,0.2,0.1,-0.3,-0.3
2021-09-18,5560.0,5770.0,5330.0,5450.0,52975164.0,-0.7,0.6,-0.5,0.1,0.4,0.1,0.3,0.5,0.1,0.1,-0.3,-0.4
2021-09-19,5300.0,5500.0,5180.0,5240.0,75165933.0,0.1,0.7,0.2,0.1,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-09-20,5460.0,5460.0,5240.0,5330.0,46764641.0,0.15,0.7,0.1,0.5,0.55,0.1,0.6,0.35,0.25,0.15,0.05,0.1
2021-09-21,5310.0,5320.0,5070.0,5100.0,54817422.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-22,4950.0,5200.0,4850.0,4980.0,70214247.0,-0.35,0.85,-0.4,0.25,0.55,0.3,0.6,0.45,0.2,0.15,-0.25,-0.3
2021-09-25,5229.0,5229.0,5180.0,5228.0,35152041.0,0.15,0.7,0.25,0.2,0.5,0.3,0.6,0.3,0.4,0.3,0.1,0.05
2021-09-26,5320.0,5450.0,5160.0,5317.0,46704524.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-28,5400.0,5510.0,5340.0,5427.0,43424454.0,-0.4,0.6,-0.2,0.1,0.3,0.1,0.4,0.3,0.2,0.1,-0.2,-0.3
2021-09-29,5530.0,5570.0,5400.0,5485.0,34291072.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-02,5600.0,5600.0,5370.0,5460.0,61121409.0,0.1,0.7,0.2,0.5,0.5,0.1,0.6,0.3,0.2,0.1,0.0,0.1
2021-10-03,5410.0,5560.0,5350.0,5420.0,44525374.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-04,5420.0,5500.0,5380.0,5460.0,34754713.0,0.1,0.4,0.2,0.1,0.3,0.1,0.3,0.2,0.1,0.1,0.0,0.1
2021-10-06,5410.0,5570.0,5380.0,5480.0,57663058.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-09,0.0,0.0,0.0,5480.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-10,0.0,0.0,0.0,5480.0,0.0,0.1,0.9,0.2,0.2,0.7,0.1,0.6,0.5,0.2,0.1,-0.2,-0.1
2021-10-11,0.0,0.0,0.0,5480.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-12,4940.0,0.0,0.0,5330.0,0.0,0.1,0.7,0.2,0.2,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.0
2021-10-13,4790.0,4940.0,4600.0,4780.0,59449552.0,-0.15,0.85,0.05,0.35,0.55,0.15,0.6,0.45,0.25,0.1,-0.05,-0.1
2021-10-16,4970.0,5019.0,4880.0,5014.0,36899581.0,0.42,0.85,0.55,0.35,0.65,0.15,0.7,0.25,0.5,0.4,0.3,0.45
2021-10-17,5140.0,5150.0,4766.0,4913.0,47904215.0,0.1,0.7,0.2,0.3,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-18,4770.0,4913.0,4669.0,4763.0,40357857.0,0.1,0.9,0.2,0.6,0.7,0.3,0.7,0.5,0.4,0.3,0.1,0.2
2021-10-19,4770.0,4960.0,4770.0,4875.0,41146620.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-20,4940.0,4940.0,4719.0,4802.0,25856018.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-23,4600.0,4629.0,4562.0,4568.0,38997531.0,-0.3,0.7,-0.4,0.2,0.5,0.3,0.6,0.5,0.2,0.1,-0.2,-0.3
2021-10-25,4400.0,4561.0,4340.0,4354.0,35165324.0,0.1,0.6,0.2,0.1,0.4,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-10-26,4200.0,4310.0,4137.0,4200.0,63569762.0,-0.42,0.85,-0.55,0.15,0.65,0.1,0.6,0.5,0.2,0.15,-0.35,-0.4
2021-10-27,4130.0,4294.0,4010.0,4146.0,66584570.0,0.15,0.85,0.05,0.35,0.55,0.15,0.6,0.45,0.25,0.15,0.05,0.1
2021-10-30,4020.0,4135.0,3939.0,3980.0,45589673.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-31,3899.0,3970.0,3781.0,3803.0,72020787.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-01,3900.0,3993.0,3900.0,3988.0,25648126.0,0.15,0.85,0.45,0.25,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-02,4068.0,4187.0,4010.0,4153.0,30933130.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-03,4360.0,4360.0,4360.0,4321.0,6084884.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-06,4537.0,4537.0,4537.0,4531.0,7289073.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-07,4757.0,4757.0,4550.0,4731.0,198277506.0,0.15,0.85,0.25,0.35,0.65,0.35,0.6,0.45,0.2,0.25,0.05,0.1
2021-11-08,4700.0,4941.0,4620.0,4805.0,72105626.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-09,4798.0,5045.0,4690.0,5000.0,105724768.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-10,5042.0,5230.0,5037.0,5129.0,60870327.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-13,4880.0,4990.0,4880.0,4890.0,79615255.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-14,4900.0,5130.0,4900.0,5040.0,79078453.0,-0.2,0.7,0.1,0.3,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.1
2021-11-15,5000.0,5010.0,4790.0,4820.0,50167033.0,0.1,0.6,0.2,0.2,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.0
2021-11-16,4650.0,4990.0,4630.0,4810.0,32401458.0,0.4,0.7,0.5,0.1,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-11-17,4950.0,4960.0,4800.0,4880.0,36033201.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-20,4970.0,4970.0,4636.0,4678.0,46150928.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.4,0.3,0.05,0.1
2021-11-21,4610.0,4798.0,4578.0,4687.0,42064543.0,-0.7,0.9,-0.5,0.1,0.4,0.1,0.3,0.6,0.1,0.1,-0.4,-0.3
2021-11-22,4840.0,4890.0,4718.0,4785.0,40743331.0,0.1,0.9,0.2,0.1,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-11-23,4735.0,4780.0,4551.0,4630.0,29603860.0,-0.3,0.7,-0.4,0.2,0.5,0.1,0.4,0.5,0.1,0.1,-0.2,-0.3
2021-11-24,4560.0,4679.0,4440.0,4530.0,35845949.0,-0.2,0.9,0.1,0.2,0.7,0.1,0.6,0.5,0.2,0.1,-0.1,-0.1
2021-11-27,4537.0,4537.0,4304.0,4314.0,52019328.0,-0.15,0.85,0.05,0.55,0.65,0.15,0.7,0.45,0.25,0.1,-0.05,-0.1
2021-11-28,4160.0,4359.0,4160.0,4269.0,33209526.0,0.1,0.7,0.2,0.2,0.5,0.1,0.6,0.5,0.2,0.1,-0.2,-0.3
2021-11-29,4270.0,4359.0,4180.0,4244.0,20472450.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-30,4252.0,4450.0,4165.0,4328.0,28972320.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-01,4270.0,4400.0,4136.0,4183.0,24620260.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-04,4132.0,4290.0,4005.0,4099.0,34673917.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-05,4160.0,4288.0,4120.0,4208.0,26397193.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-06,4240.0,4298.0,4150.0,4201.0,22463017.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-07,4142.0,4250.0,4100.0,4164.0,19134521.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-08,4160.0,4372.0,4160.0,4340.0,43364773.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-11,4355.0,4426.0,4210.0,4313.0,22007725.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-12,4210.0,4300.0,4100.0,4133.0,19472171.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-13,4080.0,4210.0,3927.0,4007.0,37721753.0,-0.7,0.9,-0.5,0.2,0.7,0.1,0.6,0.6,0.1,0.1,-0.4,-0.5
2021-12-14,4000.0,4149.0,3852.0,4013.0,30304370.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
