Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,193480.0,196480.0,187000.0,194070.0,3607564.0,-0.15,0.85,0.2,0.3,0.6,0.1,0.55,0.4,0.25,0.15,-0.05,-0.1
2021-09-18,199400.0,199400.0,184370.0,187900.0,1251517.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.4,0.3,-0.3,-0.4
2021-09-19,178510.0,178510.0,178510.0,178510.0,298166.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-20,169590.0,182380.0,169590.0,172010.0,4071236.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-21,168430.0,175000.0,163410.0,165880.0,949361.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.4,0.3,0.1,0.2
2021-09-22,157590.0,163100.0,157590.0,157780.0,2001122.0,-0.2,0.9,0.1,0.3,0.7,0.1,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-25,149900.0,149900.0,149900.0,149900.0,400550.0,-0.2,0.9,0.1,0.3,0.7,0.1,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-26,142410.0,142410.0,142410.0,142410.0,258681.0,-0.2,0.9,0.1,0.3,0.7,0.1,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-28,135290.0,135290.0,135290.0,135290.0,422217.0,0.1,0.9,0.2,0.5,0.7,0.3,0.6,0.5,0.4,0.3,0.1,0.2
2021-09-29,128530.0,139990.0,128530.0,131310.0,38684063.0,-0.1,0.9,0.2,0.4,0.6,0.2,0.5,0.4,0.3,0.2,0.1,
2021-10-02,135500.0,136990.0,124750.0,127150.0,12734791.0,-0.15,0.85,0.4,0.6,0.7,0.3,0.8,0.5,0.4,0.3,-0.2,-0.3
2021-10-03,125930.0,126000.0,120800.0,121710.0,2585516.0,-0.2,0.9,0.1,0.3,0.5,0.1,0.6,0.4,0.2,0.1,-0.3,-0.4
2021-10-04,115630.0,127500.0,115630.0,121510.0,16345377.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.4,0.3,0.1,-0.1
2021-10-06,127500.0,127580.0,124520.0,127190.0,2876583.0,-0.13,0.83,0.21,0.38,0.58,0.18,0.52,0.42,0.28,0.22,-0.05,-0.15
2021-10-09,133540.0,133540.0,125000.0,131710.0,18280092.0,0.15,0.85,0.25,0.4,0.6,0.3,0.55,0.35,0.4,0.3,0.1,0.05
2021-10-10,134000.0,135000.0,125130.0,129520.0,9209256.0,-0.2,0.9,0.1,0.3,0.7,0.1,0.6,0.5,0.2,0.1,-0.3,-0.4
