Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,6300.0,6500.0,5990.0,6100.0,133816517.0,0.45,0.9,0.5,0.6,0.7,0.3,0.8,0.2,0.6,0.4,0.3,0.4
2021-09-18,5800.0,5800.0,5800.0,5870.0,1903613.0,0.15,0.7,0.1,0.3,0.5,0.3,0.6,0.3,0.2,0.1,0.05,0.1
2021-09-19,5580.0,6090.0,5580.0,5800.0,52467941.0,0.15,0.7,0.1,0.3,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-09-20,6090.0,6090.0,5790.0,6050.0,88177428.0,0.1,0.9,0.2,0.1,0.5,0.1,0.4,0.3,0.2,0.1,0.0,0.1
2021-09-21,6350.0,6350.0,6100.0,6300.0,95836771.0,0.15,0.7,0.45,0.25,0.55,0.15,0.6,0.35,0.4,0.3,0.05,0.1
2021-09-22,0.0,0.0,0.0,6300.0,0.0,0.15,0.7,0.25,0.3,0.5,0.1,0.6,0.3,0.4,0.3,0.1,0.05
2021-09-25,6500.0,6820.0,6400.0,6730.0,76404720.0,0.15,0.85,0.45,0.25,0.55,0.15,0.6,0.35,0.4,0.3,0.05,0.1
2021-09-26,6820.0,6980.0,6400.0,6600.0,85800098.0,0.15,0.7,0.1,0.2,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-09-28,6500.0,6700.0,6270.0,6330.0,39211680.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-02,6300.0,6410.0,6170.0,6190.0,41033184.0,0.1,0.9,0.2,0.1,0.4,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-10-03,6010.0,6040.0,5890.0,5900.0,19296188.0,0.1,0.6,0.2,0.1,0.4,0.1,0.4,0.3,0.2,0.1,0.0,0.1
2021-10-04,5800.0,5900.0,5610.0,5690.0,24790371.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-06,5650.0,5940.0,5410.0,5700.0,28809935.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-09,5720.0,5880.0,5420.0,5480.0,14786746.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-10,5500.0,5650.0,5210.0,5440.0,19719413.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-11,5340.0,5700.0,5340.0,5590.0,23926085.0,0.15,0.7,0.1,0.1,0.4,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-10-12,5400.0,5570.0,5320.0,5340.0,4756535.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-13,5080.0,5300.0,5080.0,5100.0,46419550.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-16,5300.0,5350.0,5230.0,5330.0,20859673.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-17,5500.0,5500.0,5070.0,5170.0,24908847.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-18,4980.0,5400.0,4920.0,5110.0,43905458.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-19,5250.0,5360.0,5240.0,5320.0,18038792.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-20,5200.0,5350.0,5110.0,5220.0,12662239.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-23,5080.0,5380.0,4960.0,5150.0,36926350.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-25,5370.0,5400.0,5310.0,5400.0,12757791.0,0.4,0.7,0.5,0.1,0.4,0.1,0.6,0.2,0.4,0.3,0.2,0.3
2021-10-26,5670.0,5670.0,5460.0,5660.0,62786467.0,0.6,0.9,0.7,0.1,0.4,0.1,0.6,0.2,0.5,0.4,0.3,0.4
2021-10-27,5580.0,5900.0,5500.0,5720.0,31395826.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-30,5440.0,5440.0,5440.0,5440.0,14304810.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-31,5300.0,5400.0,5170.0,5210.0,17144494.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-01,5060.0,5300.0,4950.0,5000.0,28917513.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-02,5070.0,5250.0,5070.0,5240.0,23453072.0,0.4,0.7,0.5,0.1,0.4,0.1,0.6,0.2,0.4,0.3,0.2,0.3
2021-11-03,5330.0,5500.0,5240.0,5460.0,19696740.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-06,5700.0,5730.0,5510.0,5720.0,30706603.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-07,5720.0,5720.0,5440.0,5510.0,14360442.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-08,5620.0,5750.0,5610.0,5640.0,18740277.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-09,5670.0,5730.0,5420.0,5580.0,20555276.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-10,5570.0,5850.0,5360.0,5800.0,37108811.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-13,5860.0,6050.0,5520.0,5810.0,16915523.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-14,6000.0,6070.0,5710.0,5950.0,24529230.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-15,5900.0,5960.0,5660.0,5700.0,14804330.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-16,5500.0,5700.0,5420.0,5450.0,16250362.0,0.15,0.85,0.05,0.55,0.65,0.15,0.6,0.45,0.25,0.1,0.05,0.1
2021-11-17,5300.0,5540.0,5180.0,5310.0,11397334.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-20,5210.0,5500.0,5150.0,5320.0,12370350.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-21,5230.0,5540.0,5200.0,5390.0,10872397.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-22,5290.0,5500.0,5130.0,5210.0,21761861.0,0.15,0.85,0.25,0.2,0.55,0.15,0.6,0.35,0.4,0.3,0.05,0.1
2021-11-23,5130.0,5340.0,4990.0,5130.0,12866921.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-24,5000.0,5290.0,4880.0,4950.0,32259897.0,0.1,0.6,0.2,0.2,0.4,0.1,0.4,0.3,0.2,0.1,0.0,0.1
2021-11-27,4870.0,4870.0,4703.0,4717.0,5068898.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-28,4483.0,4579.0,4482.0,4488.0,11536898.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-29,4264.0,4410.0,4264.0,4292.0,17964845.0,0.1,0.7,0.2,0.3,0.5,0.1,0.4,0.3,0.2,0.1,-0.2,-0.1
2021-11-30,4140.0,4399.0,4078.0,4184.0,23676550.0,-0.2,0.7,-0.4,0.2,0.5,0.1,0.4,0.3,0.1,0.1,-0.3,-0.4
2021-12-01,4040.0,4200.0,3975.0,4057.0,24172158.0,0.1,0.7,0.2,0.1,0.4,0.1,0.4,0.3,0.2,0.1,0.0,0.1
2021-12-04,4180.0,4180.0,3880.0,3988.0,13786188.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-05,3910.0,4094.0,3910.0,4016.0,12185379.0,0.15,0.7,0.1,0.2,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-12-06,4030.0,4216.0,4020.0,4177.0,23638095.0,0.4,0.6,0.5,0.2,0.4,0.1,0.4,0.3,0.4,0.3,0.2,0.1
