Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,17980.0,18400.0,17300.0,18000.0,9301851.0,0.4,0.9,0.5,0.6,0.7,0.1,0.6,0.2,0.5,0.4,0.3,0.4
2021-09-18,17640.0,17800.0,17100.0,17260.0,3096546.0,-0.35,0.85,0.15,0.25,0.55,0.15,0.6,0.45,0.2,0.15,-0.25,-0.3
2021-09-19,16400.0,17050.0,16400.0,16510.0,6399704.0,0.15,0.85,0.05,0.55,0.65,0.15,0.7,0.45,0.4,0.3,0.1,0.05
2021-09-20,15900.0,16800.0,15690.0,15970.0,13896093.0,0.15,0.85,0.45,0.55,0.7,0.35,0.65,0.5,0.4,0.3,0.1,0.05
2021-09-21,15970.0,15970.0,15180.0,15280.0,3099964.0,0.15,0.85,0.05,0.25,0.55,0.15,0.6,0.35,0.25,0.1,0.05,0.1
2021-09-22,14550.0,15000.0,14520.0,14590.0,9880484.0,-0.2,0.7,0.1,0.3,0.5,0.1,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-25,15280.0,15310.0,14780.0,15270.0,4379532.0,0.1,0.7,0.2,0.1,0.4,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-09-26,15990.0,15990.0,15000.0,15500.0,6646814.0,0.1,0.4,0.2,0.1,0.3,0.1,0.3,0.2,0.1,0.1,0.0,0.1
2021-09-28,15600.0,15860.0,14840.0,15140.0,7997595.0,0.1,0.7,0.2,0.2,0.5,0.3,0.6,0.3,0.2,0.1,0.0,0.1
2021-09-29,15390.0,15570.0,15150.0,15370.0,4516752.0,0.1,0.9,0.2,0.1,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-02,15510.0,15700.0,14800.0,15240.0,7312187.0,-0.35,0.85,0.15,0.25,0.55,0.15,0.6,0.45,0.2,0.1,-0.25,-0.3
2021-10-03,14850.0,15510.0,14480.0,14790.0,8066916.0,0.15,0.85,0.25,0.35,0.65,0.3,0.55,0.45,0.4,0.3,0.05,0.1
2021-10-04,14610.0,14990.0,14300.0,14590.0,6931513.0,-0.2,0.7,0.1,0.2,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-06,14400.0,14830.0,14250.0,14490.0,6148267.0,-0.35,0.7,-0.2,0.2,0.5,0.1,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-09,14390.0,14490.0,13770.0,13830.0,11366532.0,-0.42,0.75,-0.55,0.35,0.65,0.25,0.6,0.5,0.2,0.15,-0.35,-0.4
