Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,16940.0,16940.0,16500.0,16670.0,12464393.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-18,16600.0,16990.0,15840.0,15930.0,19729603.0,0.15,0.7,0.1,0.2,0.5,0.1,0.6,0.5,0.2,0.1,0.05,0.1
2021-09-19,15460.0,16050.0,15140.0,15290.0,21776642.0,-0.35,0.85,-0.25,0.2,0.55,0.15,0.6,0.45,0.2,0.15,-0.3,-0.4
2021-09-20,15050.0,15870.0,14900.0,15370.0,11783610.0,0.15,0.85,0.45,0.35,0.65,0.25,0.6,0.5,0.4,0.3,0.1,0.05
2021-09-21,15350.0,15590.0,14610.0,14650.0,17511423.0,0.4,0.7,0.5,0.1,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.3
2021-09-22,14530.0,14850.0,13920.0,14280.0,19397235.0,0.4,0.7,0.2,0.1,0.5,0.1,0.6,0.3,0.2,0.1,0.1,0.2
2021-09-25,14800.0,14990.0,14600.0,14970.0,10758784.0,0.4,0.6,0.5,0.1,0.4,0.1,0.4,0.3,0.2,0.1,0.1,0.2
2021-09-26,15550.0,15550.0,14700.0,15140.0,16445530.0,0.15,0.7,0.1,0.2,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-09-28,15470.0,15470.0,14710.0,15040.0,7047411.0,-0.3,0.9,0.1,0.2,0.7,0.3,0.6,0.5,0.2,0.1,-0.2,-0.3
2021-09-29,14980.0,15300.0,14790.0,14960.0,8493743.0,0.1,0.7,0.2,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-02,15000.0,15390.0,14810.0,15090.0,14158848.0,0.6,0.9,0.5,0.1,0.4,0.1,0.3,0.2,0.4,0.3,0.2,0.3
2021-10-03,14930.0,15390.0,14600.0,14960.0,10100253.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-04,15200.0,15570.0,14960.0,15150.0,13456456.0,0.1,0.4,0.2,0.1,0.3,0.1,0.3,0.2,0.1,0.1,0.0,0.1
2021-10-06,0.0,0.0,0.0,15150.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-09,0.0,0.0,0.0,15150.0,0.0,-0.42,0.65,-0.55,0.15,0.45,0.35,0.4,0.5,0.1,0.05,-0.3,-0.4
2021-10-10,0.0,0.0,0.0,15080.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-11,0.0,0.0,0.0,15080.0,0.0,0.1,0.6,0.2,0.1,0.4,0.1,0.3,0.3,0.2,0.1,0.05,0.1
2021-10-12,0.0,0.0,0.0,15080.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-13,0.0,0.0,0.0,15080.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-16,0.0,0.0,0.0,15080.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-17,13900.0,13990.0,13500.0,13790.0,13696295.0,-0.7,0.9,-0.6,0.2,0.7,0.3,0.6,0.5,0.1,0.1,-0.4,-0.5
2021-10-18,13800.0,14470.0,13110.0,13870.0,37274406.0,0.15,0.7,0.1,0.3,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-10-19,14560.0,14560.0,14560.0,14520.0,7539165.0,0.15,0.7,0.1,0.3,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-10-20,14750.0,14750.0,14020.0,14380.0,14113913.0,0.15,0.7,0.25,0.1,0.4,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-23,14000.0,14100.0,13670.0,13820.0,6916257.0,0.1,0.2,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,
2021-10-25,13240.0,13660.0,13130.0,13220.0,24079615.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
