Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,4650.0,4680.0,4458.0,4558.0,13699355.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-18,4600.0,4600.0,4331.0,4350.0,22950436.0,0.2,0.4,0.4,0.1,0.2,0.1,0.3,0.2,0.3,0.2,0.1,0.1
2021-09-19,4330.0,4438.0,4133.0,4228.0,22290987.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-20,4221.0,4429.0,4221.0,4358.0,17505200.0,0.1,0.6,0.2,0.1,0.4,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-09-21,4322.0,4322.0,4141.0,4166.0,9741107.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-22,3980.0,4180.0,3958.0,4009.0,31455523.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-25,4140.0,4180.0,4060.0,4117.0,13218450.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-26,4200.0,4200.0,3920.0,4019.0,12359161.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-28,4010.0,4149.0,3916.0,4045.0,13556033.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-29,4150.0,4170.0,4001.0,4078.0,24200170.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-02,4000.0,4148.0,4000.0,4078.0,17588226.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-03,0.0,0.0,0.0,4078.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-04,4280.0,4342.0,4152.0,4253.0,20091561.0,0.1,0.9,0.2,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-06,4210.0,4320.0,4131.0,4188.0,17240782.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-09,4072.0,4250.0,3979.0,4003.0,10019345.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-10,3830.0,3930.0,3803.0,3815.0,22571524.0,-0.35,0.7,-0.4,0.2,0.5,0.1,0.4,0.5,0.1,0.1,-0.3,-0.4
2021-10-11,3890.0,3899.0,3632.0,3750.0,14088906.0,-0.7,0.9,-0.4,0.1,0.5,0.1,0.4,0.5,0.1,0.1,-0.3,-0.4
2021-10-12,3650.0,3700.0,3563.0,3569.0,11089962.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-13,3401.0,3558.0,3391.0,3406.0,23430484.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-16,3496.0,3554.0,3440.0,3497.0,12391181.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-17,3490.0,3589.0,3323.0,3377.0,13233081.0,0.1,0.7,0.2,0.2,0.5,0.1,0.4,0.3,0.2,0.1,0.0,0.1
2021-10-18,3262.0,3438.0,3209.0,3306.0,13040517.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-19,3350.0,3471.0,3272.0,3449.0,24466991.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-20,3513.0,3513.0,3333.0,3395.0,9678887.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-23,3390.0,3390.0,3226.0,3238.0,17223608.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-26,3245.0,3430.0,3245.0,3377.0,12111068.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-27,3400.0,3499.0,3350.0,3426.0,14418429.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-30,3430.0,3480.0,3255.0,3283.0,15256925.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-31,3150.0,3245.0,3119.0,3157.0,4040422.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-01,3100.0,3314.0,3100.0,3281.0,20079940.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-02,3310.0,3445.0,3153.0,3417.0,18970972.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-03,3430.0,3587.0,3420.0,3560.0,15807159.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-06,3738.0,3738.0,3738.0,3674.0,2690170.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-07,3857.0,3857.0,3531.0,3704.0,37087103.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
