Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,0.0,0.0,0.0,19340.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-18,0.0,0.0,0.0,19340.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-19,0.0,0.0,0.0,19340.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-20,0.0,0.0,0.0,19340.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-21,20010.0,20280.0,18380.0,18620.0,31381913.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-22,18400.0,19550.0,18050.0,19150.0,34309931.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-25,19590.0,20100.0,19300.0,19970.0,18200902.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-26,20900.0,20960.0,20160.0,20900.0,14108704.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-28,21500.0,21940.0,21110.0,21850.0,26062077.0,0.2,0.9,0.1,0.1,0.4,0.1,0.6,0.2,0.4,0.3,0.1,0.1
2021-09-29,22500.0,22500.0,20760.0,21140.0,25145504.0,0.15,0.9,0.45,0.55,0.7,0.1,0.6,0.35,0.5,0.4,0.25,0.3
2021-10-02,21900.0,22190.0,21680.0,22110.0,20927932.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.1,0.05
2021-10-03,22900.0,23210.0,22200.0,23160.0,22995927.0,0.15,0.85,0.1,0.55,0.65,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-04,23160.0,23970.0,22010.0,23150.0,20766296.0,0.15,0.7,0.1,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-06,23200.0,23900.0,22000.0,22260.0,25134870.0,0.15,0.85,0.25,0.55,0.65,0.15,0.7,0.45,0.4,0.3,0.05,0.1
2021-10-09,21600.0,22000.0,21150.0,21290.0,2965418.0,0.15,0.7,0.1,0.6,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-10-10,20230.0,21930.0,20230.0,20790.0,34026979.0,0.15,0.7,0.1,0.3,0.5,0.1,0.6,0.5,0.2,0.1,0.05,0.1
2021-10-11,21790.0,21820.0,21500.0,21810.0,7287128.0,0.1,0.6,0.2,0.1,0.4,0.1,0.3,0.2,0.2,0.1,0.05,0.1
2021-10-12,22900.0,22900.0,22000.0,22800.0,18534155.0,-0.2,0.9,0.1,0.5,0.7,0.1,0.6,0.5,0.2,0.1,-0.3,-0.3
2021-10-13,23150.0,23940.0,23150.0,23890.0,27747474.0,0.15,0.7,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-16,24500.0,25080.0,23950.0,24990.0,23115655.0,0.15,0.7,0.25,0.35,0.55,0.15,0.6,0.3,0.4,0.3,0.1,0.05
2021-10-17,26000.0,26230.0,24100.0,25850.0,25997465.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.2,0.1
2021-10-18,24560.0,26160.0,24560.0,24780.0,30889694.0,0.15,0.85,0.25,0.55,0.65,0.15,0.6,0.35,0.4,0.3,0.05,0.1
2021-10-19,24780.0,26010.0,24300.0,25850.0,21738996.0,0.15,0.7,0.1,0.3,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-10-20,26450.0,27140.0,26020.0,26930.0,13714410.0,0.15,0.6,0.1,0.1,0.4,0.1,0.4,0.2,0.3,0.2,0.05,0.1
2021-10-23,27480.0,27480.0,25590.0,25760.0,4848107.0,0.4,0.7,0.2,0.3,0.5,0.1,0.6,0.3,0.4,0.3,0.1,0.2
2021-10-25,24480.0,25500.0,24480.0,24530.0,18343300.0,0.42,0.65,0.55,0.15,0.45,0.1,0.6,0.25,0.4,0.3,0.25,0.35
2021-10-26,23500.0,24970.0,23310.0,23840.0,10393047.0,0.45,0.9,0.55,0.6,0.7,0.1,0.7,0.3,0.5,0.4,0.2,0.3
2021-10-27,22650.0,22650.0,22650.0,22650.0,1333672.0,0.15,0.7,0.1,0.6,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-30,21520.0,21880.0,21520.0,21520.0,7946269.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
