Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,13340.0,13340.0,13000.0,13140.0,65915416.0,-0.1,0.8,0.2,0.5,0.6,0.3,0.7,0.4,0.2,0.1,-0.2,-0.1
2021-09-18,13000.0,13120.0,12490.0,12560.0,104328788.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.4,0.3,-0.3,-0.4
2021-09-19,12340.0,12730.0,11960.0,12270.0,75480690.0,0.12,0.85,0.25,0.55,0.65,0.15,0.7,0.45,0.35,0.2,0.05,0.1
2021-09-20,12440.0,12570.0,12300.0,12420.0,40294859.0,-0.2,0.8,0.1,0.3,0.5,0.2,0.6,0.4,0.2,0.1,-0.1,-0.2
2021-09-21,12440.0,12440.0,11810.0,12080.0,78917512.0,-0.2,0.8,0.1,0.5,0.6,0.3,0.7,0.5,0.2,0.1,-0.3,-0.4
2021-09-22,12150.0,12680.0,11820.0,12440.0,138802664.0,0.12,0.85,0.25,0.55,0.65,0.3,0.6,0.45,0.4,0.35,0.05,0.15
2021-09-25,13030.0,13060.0,12770.0,13050.0,170244153.0,-0.1,0.8,0.2,0.5,0.7,0.3,0.6,0.4,0.2,0.1,-0.2,-0.3
2021-09-26,13200.0,13250.0,12710.0,12980.0,99618793.0,-0.2,0.8,0.1,0.3,0.5,0.1,0.4,0.3,0.2,0.1,-0.1,-0.2
2021-09-28,13170.0,13490.0,13000.0,13160.0,90438154.0,-0.2,0.7,0.1,0.3,0.5,0.3,0.6,0.4,0.2,0.1,-0.3,-0.4
2021-09-29,13100.0,13410.0,12800.0,13200.0,109934781.0,-0.2,0.7,0.1,0.5,0.8,0.3,0.6,0.5,0.4,0.3,-0.3,-0.4
2021-10-02,13500.0,13860.0,13500.0,13760.0,159465272.0,-0.2,0.8,0.1,0.5,0.7,0.3,0.6,0.5,0.4,0.3,0.1,-0.1
2021-10-03,13730.0,13890.0,13400.0,13620.0,87358976.0,-0.1,0.9,0.2,0.6,0.7,0.3,0.8,0.5,0.4,0.3,0.1,0.2
2021-10-04,13400.0,14300.0,13400.0,14030.0,141468747.0,-0.2,0.7,0.1,0.3,0.5,0.1,0.6,0.3,0.2,0.1,-0.1,-0.1
2021-10-06,14400.0,14730.0,14390.0,14680.0,212112352.0,0.15,0.85,0.25,0.55,0.7,0.3,0.6,0.35,0.4,0.3,0.1,0.05
2021-10-09,14750.0,14820.0,13950.0,14210.0,138482050.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.4,0.3,0.05,0.1
2021-10-10,14000.0,14430.0,13750.0,14110.0,149797345.0,0.12,0.85,0.15,0.55,0.65,0.3,0.7,0.45,0.4,0.35,0.05,0.1
2021-10-11,14120.0,14370.0,13710.0,13980.0,85395564.0,-0.2,0.8,0.1,0.3,0.5,0.3,0.6,0.4,0.2,0.1,-0.1,-0.3
2021-10-12,13510.0,13560.0,13290.0,13300.0,167276299.0,-0.15,0.85,0.2,0.6,0.7,0.3,0.8,0.5,0.4,0.3,-0.2,-0.3
2021-10-13,13020.0,13400.0,12640.0,12700.0,132703439.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-16,12400.0,13050.0,12400.0,12720.0,311297627.0,0.15,0.9,0.2,0.5,0.7,0.3,0.6,0.4,0.4,0.3,0.1,0.05
2021-10-17,12830.0,12830.0,12090.0,12260.0,175198081.0,-0.2,0.7,0.1,0.3,0.5,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-18,12000.0,12470.0,11790.0,12160.0,102138305.0,-0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.4,0.3,0.05,-0.1
2021-10-19,12460.0,12510.0,12220.0,12330.0,46283187.0,-0.1,0.9,0.2,0.3,0.5,0.1,0.6,0.3,0.2,0.1,-0.2,-0.3
2021-10-20,12180.0,12180.0,11720.0,11880.0,94340136.0,-0.1,0.8,0.2,0.5,0.7,0.3,0.6,0.5,0.4,0.3,0.1,0.2
2021-10-23,11600.0,11600.0,11290.0,11300.0,45924833.0,-0.2,0.7,0.1,0.3,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-25,10840.0,11260.0,10740.0,10790.0,121240131.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-26,10610.0,10960.0,10480.0,10780.0,79568913.0,-0.2,0.8,0.1,0.5,0.6,0.3,0.6,0.4,0.2,0.1,-0.1,-0.2
2021-10-27,10820.0,11150.0,10630.0,10920.0,47424256.0,-0.15,0.8,0.2,0.3,0.5,0.1,0.6,0.4,0.2,0.1,-0.2,-0.3
2021-10-30,11200.0,11200.0,10380.0,10630.0,58540500.0,-0.2,0.8,0.1,0.5,0.7,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-31,10410.0,10500.0,10100.0,10120.0,120799062.0,-0.2,0.8,0.1,0.5,0.7,0.3,0.6,0.5,0.4,0.3,-0.1,-0.3
2021-11-01,10300.0,10620.0,10280.0,10610.0,92462881.0,-0.1,0.85,0.25,0.45,0.65,0.3,0.55,0.35,0.4,0.25,0.05,0.1
2021-11-02,10800.0,11130.0,10630.0,10940.0,58460472.0,-0.2,0.8,0.1,0.3,0.5,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-11-03,10950.0,11400.0,10710.0,11150.0,70403165.0,0.15,0.85,0.25,0.35,0.55,0.3,0.6,0.4,0.35,0.25,0.05,0.1
2021-11-06,11550.0,11700.0,11450.0,11670.0,84061218.0,-0.1,0.8,0.2,0.3,0.5,0.3,0.6,0.4,0.2,0.1,-0.2,-0.1
2021-11-07,11500.0,11870.0,11130.0,11470.0,95798202.0,-0.2,0.7,0.1,0.3,0.5,0.1,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-11-08,11100.0,11570.0,11010.0,11320.0,81339069.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.4,0.3,0.1,0.05
2021-11-09,11330.0,11880.0,11330.0,11850.0,184764917.0,0.15,0.85,0.25,0.35,0.65,0.4,0.6,0.3,0.45,0.35,0.1,0.05
2021-11-10,12030.0,12440.0,11850.0,12090.0,104652762.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.3,0.4,0.25,0.1,0.05
2021-11-13,11540.0,11930.0,11490.0,11530.0,120125007.0,-0.23,0.85,0.12,0.31,0.58,0.35,0.62,0.48,0.29,0.21,-0.15,-0.28
2021-11-14,11630.0,11820.0,11360.0,11560.0,59446223.0,-0.15,0.85,0.25,0.35,0.55,0.3,0.6,0.45,0.4,0.3,-0.05,-0.1
2021-11-15,11490.0,11490.0,10990.0,11020.0,131677849.0,-0.15,0.85,0.1,0.35,0.55,0.25,0.6,0.45,0.2,0.15,-0.05,-0.1
2021-11-16,0.0,0.0,0.0,11020.0,0.0,0.15,0.85,0.25,0.55,0.65,0.35,0.6,0.45,0.4,0.3,0.05,0.1
2021-11-17,0.0,0.0,0.0,11020.0,0.0,0.15,0.9,0.2,0.5,0.7,0.3,0.6,0.4,0.4,0.3,0.1,0.2
2021-11-20,0.0,0.0,0.0,11020.0,0.0,-0.15,0.85,0.1,0.35,0.55,0.25,0.6,0.45,0.2,0.15,-0.05,-0.1
2021-11-21,0.0,0.0,0.0,6000.0,0.0,-0.2,0.85,0.15,0.3,0.65,0.1,0.6,0.35,0.25,0.15,-0.05,-0.1
2021-11-22,6360.0,6360.0,6230.0,6310.0,84045621.0,0.15,0.85,0.25,0.55,0.7,0.3,0.65,0.45,0.4,0.35,0.05,0.1
2021-11-23,6360.0,6420.0,6210.0,6300.0,70083677.0,0.15,0.85,0.25,0.35,0.6,0.3,0.7,0.45,0.4,0.3,0.05,0.1
2021-11-24,6260.0,6320.0,6050.0,6160.0,41279159.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-11-27,5870.0,6020.0,5860.0,5890.0,60486481.0,-0.2,0.7,0.1,0.3,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-11-28,5780.0,6000.0,5770.0,5860.0,45005851.0,-0.2,0.7,0.1,0.3,0.5,0.1,0.6,0.4,0.2,0.1,-0.1,-0.1
2021-11-29,5870.0,5960.0,5760.0,5850.0,40698039.0,-0.1,0.7,0.2,0.5,0.6,0.3,0.6,0.5,0.4,0.3,0.1,0.2
2021-11-30,5820.0,5920.0,5680.0,5780.0,38738354.0,0.1,0.9,0.2,0.6,0.7,0.4,0.8,0.5,0.4,0.3,0.1,0.2
2021-12-01,5720.0,5830.0,5530.0,5630.0,45841487.0,-0.2,0.7,0.1,0.3,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-12-04,5750.0,5910.0,5580.0,5760.0,79133522.0,0.15,0.85,0.25,0.55,0.7,0.35,0.65,0.45,0.4,0.3,0.05,0.1
2021-12-05,5900.0,5990.0,5830.0,5910.0,53527161.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.4,0.3,0.05,0.1
2021-12-06,5870.0,5960.0,5780.0,5870.0,26228160.0,-0.2,0.7,0.1,0.3,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-12-07,5700.0,5940.0,5700.0,5860.0,29321175.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-12-08,5970.0,6070.0,5840.0,5990.0,49748531.0,-0.1,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-12-11,6010.0,6070.0,5890.0,5960.0,33750282.0,-0.15,0.85,0.25,0.35,0.55,0.3,0.6,0.45,0.4,0.3,-0.05,-0.1
2021-12-12,5940.0,5940.0,5670.0,5700.0,46302108.0,-0.15,0.85,0.1,0.55,0.65,0.3,0.7,0.45,0.25,0.15,-0.05,-0.1
2021-12-13,5810.0,5810.0,5420.0,5530.0,54573764.0,-0.35,0.85,0.15,0.55,0.65,0.3,0.6,0.5,0.25,0.2,-0.15,-0.3
2021-12-14,5520.0,5710.0,5350.0,5570.0,36240585.0,-0.2,0.8,0.1,0.5,0.6,0.3,0.7,0.5,0.4,0.3,-0.1,-0.2
2021-12-15,5580.0,5690.0,5500.0,5570.0,25062217.0,-0.2,0.7,0.1,0.5,0.5,0.3,0.6,0.4,0.2,0.1,-0.1,-0.1
2021-12-18,5600.0,5790.0,5580.0,5650.0,23531627.0,0.15,0.85,0.45,0.55,0.65,0.35,0.6,0.5,0.4,0.3,0.1,0.2
2021-12-19,5650.0,5670.0,5370.0,5420.0,45009984.0,-0.2,0.8,0.1,0.5,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-12-20,5510.0,5550.0,5380.0,5480.0,45933041.0,0.12,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.4,0.3,0.05,0.1
2021-12-21,5560.0,5750.0,5450.0,5640.0,57069437.0,-0.1,0.7,0.2,0.5,0.6,0.1,0.6,0.3,0.4,0.3,0.1,0.2
2021-12-22,5880.0,5920.0,5790.0,5920.0,60613287.0,0.45,0.85,0.55,0.6,0.7,0.3,0.65,0.5,0.6,0.4,0.2,0.3
