Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,41780.0,41780.0,39200.0,39720.0,3950079.0,0.15,0.85,0.45,0.25,0.55,0.35,0.6,0.5,0.4,0.3,0.1,0.05
2021-09-18,40950.0,40950.0,37740.0,38070.0,3118376.0,0.15,0.85,0.45,0.25,0.65,0.15,0.6,0.35,0.5,0.4,0.3,0.2
2021-09-19,36710.0,39970.0,36710.0,39830.0,10317413.0,0.42,0.85,0.55,0.25,0.65,0.15,0.6,0.35,0.5,0.4,0.3,0.45
2021-09-20,41000.0,41820.0,40990.0,41600.0,1532734.0,0.15,0.7,0.25,0.55,0.45,0.1,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-21,43680.0,43680.0,40400.0,43140.0,14095891.0,0.15,0.7,0.25,0.3,0.5,0.1,0.6,0.3,0.4,0.3,0.1,0.05
2021-09-22,42430.0,43000.0,40990.0,41200.0,3406433.0,0.4,0.9,0.5,0.1,0.5,0.1,0.6,0.2,0.5,0.4,0.3,0.2
2021-09-25,39300.0,40980.0,39140.0,39500.0,3435227.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.2,0.1,0.05,0.1
2021-09-26,38700.0,40900.0,38010.0,39270.0,3623832.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-28,38600.0,39670.0,37310.0,37540.0,4878729.0,0.15,0.85,0.05,0.25,0.55,0.15,0.6,0.35,0.4,0.3,0.05,0.1
2021-09-29,37900.0,39240.0,36500.0,38210.0,3451277.0,0.233,0.667,0.433,0.0,0.333,0.0,0.5,0.333,0.5,0.333,0.333,
2021-10-02,37810.0,40120.0,36460.0,38710.0,7771486.0,0.42,0.85,0.55,0.35,0.65,0.15,0.6,0.25,0.5,0.35,0.4,0.3
2021-10-03,39500.0,40000.0,38880.0,39400.0,527262.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-04,40580.0,40580.0,38670.0,39470.0,2578546.0,0.7,0.9,0.6,0.2,0.5,0.1,0.6,0.1,0.5,0.4,0.3,0.4
2021-10-06,38970.0,41400.0,38020.0,40130.0,4005282.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-09,40000.0,40000.0,38130.0,38300.0,2982380.0,0.15,0.7,0.1,0.2,0.4,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-10-10,38300.0,40000.0,37350.0,39000.0,2990894.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-11,39900.0,39900.0,37380.0,38310.0,2418822.0,0.1,0.7,0.2,0.2,0.5,0.1,0.6,0.5,0.4,0.3,0.1,0.2
2021-10-12,37160.0,37160.0,36400.0,36560.0,1113344.0,0.4,0.9,0.5,0.1,0.3,0.1,0.6,0.2,0.4,0.3,0.2,0.1
2021-10-13,34740.0,35970.0,34740.0,34800.0,1716347.0,-0.35,0.65,-0.25,0.15,0.45,0.1,0.4,0.3,0.2,0.15,-0.05,-0.1
2021-10-16,33200.0,36090.0,33060.0,34380.0,6218409.0,0.15,0.85,0.45,0.25,0.65,0.35,0.6,0.5,0.4,0.3,0.1,0.05
2021-10-17,36090.0,36090.0,34730.0,35700.0,3604089.0,0.15,0.9,0.25,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-18,34400.0,34990.0,33920.0,34120.0,3302735.0,0.15,0.7,0.25,0.2,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-10-19,33210.0,34500.0,32700.0,33200.0,4885767.0,0.15,0.9,0.1,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-20,0.0,0.0,0.0,33200.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-23,0.0,0.0,0.0,33200.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-25,0.0,0.0,0.0,33200.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-26,31540.0,31540.0,31540.0,32390.0,220018.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-27,30780.0,30780.0,30780.0,31580.0,228509.0,0.15,0.9,0.45,0.1,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-30,30010.0,30010.0,30010.0,31190.0,118630.0,0.1,0.7,0.2,0.2,0.5,0.3,0.6,0.3,0.2,0.1,0.0,0.1
2021-10-31,29640.0,29640.0,29640.0,31020.0,52963.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
