Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,13170.0,13230.0,13020.0,13110.0,50951736.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-18,12990.0,12990.0,12460.0,12570.0,73518088.0,-0.35,0.85,-0.45,0.25,0.55,0.15,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-19,12190.0,12620.0,11980.0,12180.0,68554931.0,-0.35,0.85,-0.25,0.55,0.65,0.15,0.6,0.5,0.2,0.15,-0.3,-0.4
2021-09-20,12040.0,12500.0,12040.0,12350.0,57727068.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.2,0.1,0.05,0.1
2021-09-21,12350.0,12420.0,11800.0,12010.0,59302374.0,0.05,0.85,0.15,0.55,0.65,0.35,0.6,0.45,0.25,0.15,0.05,0.1
2021-09-22,12060.0,12420.0,11640.0,12050.0,73551072.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.1,0.2
2021-09-25,12490.0,12650.0,12300.0,12590.0,91514645.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.3,0.05,0.1
2021-09-26,13000.0,13030.0,12680.0,12850.0,79877958.0,0.15,0.85,0.45,0.55,0.65,0.35,0.6,0.45,0.4,0.3,0.1,0.05
2021-09-28,13010.0,13180.0,12780.0,12930.0,42895955.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.3,0.4,0.25,0.1,0.05
2021-09-29,12960.0,13090.0,12800.0,12980.0,51708662.0,0.15,0.65,0.05,0.25,0.55,0.15,0.6,0.35,0.2,0.1,0.05,0.1
2021-10-02,13150.0,13430.0,13000.0,13220.0,62515985.0,0.15,0.85,0.45,0.35,0.55,0.25,0.6,0.35,0.4,0.3,0.05,0.1
2021-10-03,13010.0,13200.0,12820.0,13000.0,62316092.0,-0.35,0.85,-0.25,0.25,0.55,0.15,0.6,0.5,0.2,0.15,-0.3,-0.4
2021-10-04,13000.0,13100.0,12930.0,13000.0,47986184.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.2,0.1,0.05,0.1
2021-10-06,13000.0,13150.0,12980.0,13060.0,49209928.0,0.15,0.6,0.1,0.2,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-10-09,12970.0,13040.0,12640.0,12850.0,53395099.0,-0.25,0.7,0.15,0.35,0.55,0.15,0.6,0.45,0.25,0.15,-0.05,-0.15
2021-10-10,12700.0,12870.0,12540.0,12680.0,38542621.0,0.15,0.85,0.05,0.35,0.55,0.15,0.65,0.45,0.25,0.15,0.05,0.1
2021-10-11,12650.0,12900.0,12640.0,12790.0,36043430.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-12,12660.0,12770.0,12350.0,12450.0,52736470.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-13,12200.0,12500.0,12200.0,12270.0,69268421.0,0.15,0.85,0.05,0.35,0.65,0.25,0.6,0.45,0.25,0.15,0.05,0.1
2021-10-16,12880.0,12880.0,12880.0,12880.0,30152288.0,0.15,0.85,0.25,0.35,0.65,0.35,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-17,13520.0,13520.0,13180.0,13440.0,193903939.0,0.15,0.85,0.25,0.55,0.65,0.35,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-18,13350.0,13970.0,13260.0,13690.0,130165815.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.3,0.4,0.25,0.1,0.05
2021-10-19,13700.0,13950.0,13680.0,13820.0,62249133.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.1,0.2
2021-10-20,13600.0,13660.0,13460.0,13530.0,57632709.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.3,0.4,0.25,0.05,0.1
2021-10-23,13770.0,13770.0,13140.0,13300.0,71934487.0,-0.42,0.75,-0.25,0.15,0.55,0.1,0.6,0.45,0.2,0.15,-0.35,-0.3
2021-10-25,13100.0,13340.0,12990.0,13090.0,45866422.0,0.15,0.7,0.25,0.35,0.55,0.3,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-26,12960.0,13300.0,12770.0,13130.0,49014979.0,0.233,0.533,0.467,0.133,0.433,0.133,0.433,0.267,0.233,0.133,0.033,0.133
2021-10-27,13110.0,13560.0,13060.0,13310.0,37437897.0,0.15,0.7,0.45,0.25,0.55,0.35,0.6,0.3,0.4,0.25,0.1,0.05
2021-10-30,13290.0,13450.0,12810.0,13010.0,60114522.0,0.15,0.85,0.45,0.25,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-31,12820.0,13000.0,12540.0,12670.0,64441597.0,-0.35,0.65,-0.25,0.25,0.55,0.15,0.6,0.45,0.2,0.15,-0.3,-0.4
2021-11-01,12850.0,13230.0,12850.0,13140.0,37143651.0,0.15,0.9,0.1,0.2,0.5,0.3,0.6,0.3,0.4,0.3,0.2,0.1
2021-11-02,13210.0,13390.0,13150.0,13280.0,32826433.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.1,0.05
2021-11-03,13290.0,13700.0,13280.0,13500.0,46498325.0,0.15,0.85,0.45,0.55,0.7,0.35,0.65,0.5,0.4,0.3,0.2,0.1
2021-11-06,13560.0,13990.0,13560.0,13870.0,69015146.0,0.15,0.9,0.25,0.55,0.7,0.15,0.65,0.45,0.4,0.3,0.05,0.1
2021-11-07,13800.0,13900.0,13250.0,13570.0,57968014.0,0.45,0.85,0.55,0.25,0.65,0.35,0.6,0.3,0.5,0.4,0.15,0.3
2021-11-08,13380.0,13780.0,13200.0,13540.0,40132131.0,0.15,0.7,0.1,0.2,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-11-09,13720.0,14000.0,13590.0,13790.0,51170795.0,0.15,0.7,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-11-10,13600.0,13930.0,13600.0,13810.0,46754415.0,0.15,0.85,0.25,0.35,0.55,0.25,0.6,0.45,0.4,0.3,0.05,0.1
2021-11-13,13790.0,13990.0,13510.0,13780.0,53571892.0,0.15,0.85,0.25,0.55,0.65,0.35,0.6,0.45,0.4,0.3,0.05,0.1
2021-11-14,13800.0,13980.0,13600.0,13750.0,39792016.0,0.1,0.9,0.2,0.2,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-11-15,13700.0,13800.0,13070.0,13340.0,33957940.0,0.1,0.7,0.2,0.3,0.5,0.3,0.6,0.5,0.2,0.1,0.0,0.1
2021-11-16,13130.0,13530.0,13080.0,13280.0,26234391.0,0.15,0.85,0.45,0.35,0.55,0.25,0.6,0.35,0.4,0.3,0.05,0.1
2021-11-17,13000.0,13440.0,13000.0,13210.0,31470168.0,-0.2,0.9,0.1,0.3,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-11-20,0.0,0.0,0.0,13210.0,0.0,0.15,0.85,0.45,0.35,0.65,0.25,0.55,0.45,0.25,0.15,0.05,0.1
2021-11-21,13230.0,13460.0,13230.0,13290.0,41602162.0,0.15,0.9,0.25,0.35,0.55,0.15,0.6,0.3,0.25,0.2,0.05,0.1
2021-11-22,0.0,0.0,0.0,13290.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-23,0.0,0.0,0.0,13290.0,0.0,0.2,0.9,0.1,0.1,0.4,0.1,0.3,0.2,0.2,0.1,0.1,0.1
2021-11-24,0.0,0.0,0.0,13290.0,0.0,0.15,0.7,0.25,0.2,0.5,0.3,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-27,0.0,0.0,0.0,13290.0,0.0,0.15,0.9,0.25,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.05,0.1
2021-11-28,0.0,0.0,0.0,6650.0,0.0,0.15,0.7,0.1,0.2,0.5,0.1,0.6,0.3,0.2,0.1,0.05,0.1
2021-11-29,0.0,0.0,0.0,6650.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-11-30,0.0,0.0,0.0,6650.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-01,0.0,0.0,0.0,6650.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-04,0.0,0.0,0.0,6650.0,0.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-05,0.0,0.0,0.0,6650.0,0.0,0.15,0.7,0.25,0.1,0.4,0.1,0.4,0.2,0.3,0.25,0.05,0.1
2021-12-06,6410.0,6540.0,6410.0,6460.0,54161441.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-12-07,6410.0,6570.0,6340.0,6450.0,70654718.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-12-08,6500.0,6730.0,6480.0,6610.0,60601505.0,0.15,0.7,0.45,0.2,0.55,0.15,0.6,0.35,0.25,0.2,0.05,0.1
2021-12-11,6610.0,6720.0,6510.0,6600.0,39523147.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-12,6500.0,6540.0,6270.0,6370.0,44271644.0,0.15,0.7,0.1,0.2,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-12-13,6280.0,6490.0,6070.0,6220.0,63322854.0,0.15,0.7,0.1,0.2,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-12-14,6120.0,6380.0,5980.0,6190.0,53512516.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-15,6210.0,6340.0,6190.0,6250.0,36436429.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-18,6270.0,6420.0,6270.0,6310.0,28839996.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-12-19,6340.0,6350.0,6110.0,6160.0,32898343.0,0.15,0.6,0.1,0.2,0.4,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-12-20,6250.0,6320.0,6150.0,6210.0,49812577.0,0.1,0.7,0.2,0.3,0.5,0.1,0.6,0.3,0.2,0.1,0.0,0.1
2021-12-21,6220.0,6520.0,6220.0,6440.0,58637932.0,0.15,0.85,0.45,0.35,0.55,0.25,0.6,0.3,0.4,0.3,0.05,0.1
2021-12-22,6520.0,6760.0,6520.0,6720.0,47074157.0,0.15,0.85,0.45,0.35,0.65,0.25,0.6,0.45,0.4,0.3,0.05,0.1
2021-12-25,6900.0,7050.0,6830.0,7010.0,148682550.0,0.15,0.85,0.45,0.55,0.65,0.35,0.6,0.45,0.5,0.4,0.2,0.3
2021-12-26,7010.0,7180.0,6900.0,7050.0,88042536.0,0.15,0.85,0.45,0.35,0.55,0.25,0.6,0.3,0.4,0.3,0.1,0.05
2021-12-27,7180.0,7400.0,7110.0,7340.0,132585264.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-12-28,7340.0,7370.0,7150.0,7280.0,85088778.0,0.15,0.7,0.25,0.3,0.5,0.1,0.6,0.3,0.4,0.3,0.1,0.2
2021-12-29,7280.0,7350.0,7150.0,7230.0,117936110.0,0.15,0.85,0.1,0.35,0.55,0.15,0.6,0.45,0.25,0.2,0.05,0.1
2022-01-01,7150.0,7290.0,7090.0,7210.0,68965439.0,0.45,0.85,0.55,0.35,0.65,0.25,0.6,0.35,0.5,0.4,0.15,0.3
