Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,160330.0,160330.0,157000.0,160170.0,859611.0,0.1,0.9,0.2,0.5,0.7,0.3,0.6,0.5,0.4,0.3,0.1,0.0
2021-09-18,0.0,0.0,0.0,160170.0,0.0,0.45,0.85,0.55,0.25,0.65,0.35,0.7,0.3,0.5,0.4,0.2,0.3
2021-09-19,0.0,0.0,0.0,160170.0,0.0,0.2,0.9,0.4,0.3,0.7,0.4,0.6,0.2,0.5,0.4,0.3,0.4
2021-09-20,168170.0,168170.0,168170.0,168170.0,506354.0,0.43,0.85,0.58,0.31,0.68,0.41,0.63,0.29,0.55,0.48,0.21,0.39
2021-09-21,176570.0,176570.0,159770.0,167170.0,13824287.0,0.1,0.85,0.25,0.4,0.6,0.2,0.55,0.4,0.3,0.2,0.05,0.1
2021-09-22,170000.0,174520.0,158820.0,162380.0,6131278.0,-0.25,0.85,0.1,0.35,0.6,0.15,0.55,0.4,0.3,0.2,-0.15,-0.3
2021-09-25,156000.0,162000.0,154270.0,155450.0,697972.0,-0.2,0.8,0.1,0.3,0.5,0.1,0.6,0.5,0.2,0.1,-0.3,-0.1
2021-09-26,147680.0,147680.0,147680.0,147680.0,2660153.0,0.05,0.85,0.15,0.35,0.55,0.1,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-28,148200.0,155060.0,148200.0,153140.0,1841276.0,0.12,0.85,0.25,0.42,0.65,0.28,0.55,0.45,0.35,0.25,0.05,0.15
2021-09-29,160790.0,160790.0,160790.0,160790.0,474967.0,0.15,0.85,0.45,0.55,0.65,0.35,0.6,0.5,0.4,0.3,0.1,0.05
2021-10-02,168820.0,168820.0,161000.0,167320.0,7896080.0,0.45,0.85,0.55,0.3,0.65,0.15,0.6,0.35,0.5,0.4,0.25,0.4
2021-10-03,168820.0,175680.0,160500.0,172450.0,5497577.0,0.2,0.9,0.1,0.3,0.5,0.4,0.6,0.3,0.4,0.2,0.1,0.3
2021-10-04,181070.0,0.0,0.0,172450.0,0.0,-0.2,0.9,0.1,0.3,0.6,0.2,0.5,0.4,0.3,0.2,-0.1,-0.2
2021-10-06,0.0,0.0,0.0,172450.0,0.0,-0.23,0.85,0.11,0.38,0.63,0.28,0.58,0.46,0.29,0.21,-0.15,-0.32
2021-10-09,0.0,0.0,0.0,172450.0,0.0,0.45,0.85,0.55,0.35,0.65,0.25,0.6,0.45,0.5,0.35,0.2,0.3
2021-10-10,0.0,0.0,0.0,172450.0,0.0,0.1,0.9,0.2,0.6,0.7,0.3,0.6,0.5,0.4,0.3,0.2,0.1
2021-10-11,0.0,0.0,0.0,172450.0,0.0,0.1,0.9,0.2,0.5,0.7,0.4,0.6,0.5,0.4,0.3,0.1,0.2
2021-10-12,174450.0,181070.0,163830.0,175360.0,12071580.0,-0.1,0.9,0.2,0.3,0.5,0.2,0.6,0.4,0.3,0.2,-0.2,-0.3
2021-10-13,169090.0,171800.0,166600.0,166940.0,2778702.0,-0.23,0.85,0.15,0.35,0.55,0.18,0.6,0.42,0.28,0.22,-0.15,-0.25
2021-10-16,163000.0,175280.0,163000.0,173390.0,4407686.0,0.12,0.85,0.25,0.6,0.7,0.15,0.55,0.35,0.4,0.3,0.05,0.1
2021-10-17,177500.0,182050.0,165600.0,174500.0,3857257.0,-0.2,0.9,0.1,0.3,0.5,0.1,0.6,0.4,0.2,0.1,-0.1,-0.2
