Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,65720.0,69000.0,64900.0,67130.0,1127739.0,0.4,0.9,0.5,0.1,0.4,0.1,0.6,0.2,0.5,0.4,0.3,0.2
2021-09-18,65010.0,66800.0,63780.0,63930.0,585107.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-19,60950.0,65940.0,60740.0,61710.0,553350.0,0.7,0.9,0.6,0.2,0.4,0.1,0.6,0.1,0.5,0.4,0.6,0.5
2021-09-20,66400.0,0.0,0.0,61710.0,0.0,0.15,0.9,0.1,0.2,0.5,0.1,0.4,0.3,0.2,0.1,0.05,0.1
2021-09-21,60000.0,61120.0,57000.0,59570.0,1131205.0,0.4,0.9,0.5,0.1,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-09-22,61800.0,62540.0,57500.0,60630.0,1226882.0,0.15,0.9,0.4,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-09-25,63600.0,63660.0,61860.0,63070.0,1022113.0,0.42,0.85,0.55,0.15,0.4,0.1,0.6,0.25,0.5,0.35,0.3,0.25
2021-09-26,63660.0,64690.0,61010.0,62640.0,620446.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-28,60450.0,62390.0,59510.0,60840.0,4181828.0,0.7,0.9,0.6,0.2,0.4,0.1,0.6,0.2,0.5,0.4,0.6,0.5
2021-09-29,60800.0,60800.0,57800.0,58500.0,1133668.0,0.15,0.7,0.1,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-02,57800.0,57800.0,55580.0,55820.0,2173217.0,0.15,0.9,0.1,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.1
2021-10-03,56900.0,57120.0,54180.0,55730.0,1286262.0,0.15,0.7,0.25,0.1,0.5,0.1,0.6,0.3,0.4,0.3,0.1,0.05
2021-10-04,56100.0,56800.0,54000.0,54850.0,2623849.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-06,55440.0,55440.0,53490.0,54050.0,1135079.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-09,53500.0,53500.0,51350.0,51920.0,1091840.0,0.15,0.7,0.1,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.05,0.1
2021-10-10,51300.0,52000.0,49330.0,49960.0,1406760.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-11,49960.0,52450.0,49020.0,52360.0,2321418.0,0.15,0.9,0.25,0.2,0.5,0.1,0.6,0.3,0.4,0.3,0.1,0.05
2021-10-12,52500.0,53050.0,49750.0,50330.0,950508.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-13,47860.0,49490.0,47820.0,48010.0,422763.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-16,45810.0,49650.0,45630.0,47850.0,1296216.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
