Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,4035.0,4063.0,3930.0,3991.0,152573811.0,0.15,0.9,0.2,0.3,0.7,0.4,0.6,0.3,0.4,0.2,0.1,0.2
2021-09-18,3999.0,4029.0,3803.0,3854.0,143614234.0,0.1,0.7,0.2,0.5,0.5,0.1,0.6,0.5,0.4,0.3,0.2,0.1
2021-09-19,3802.0,3900.0,3730.0,3785.0,123587720.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-20,3800.0,3870.0,3753.0,3803.0,130854079.0,0.15,0.85,0.45,0.35,0.7,0.35,0.65,0.25,0.5,0.4,0.3,0.4
2021-09-21,3800.0,3805.0,3618.0,3663.0,154000619.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.25,0.05,0.1
2021-09-22,3658.0,3750.0,3520.0,3662.0,138430800.0,-0.42,0.85,-0.38,0.28,0.55,0.18,0.58,0.48,0.22,0.15,-0.25,-0.35
2021-09-25,3750.0,3830.0,3740.0,3793.0,133369254.0,0.15,0.85,0.45,0.55,0.7,0.35,0.65,0.5,0.4,0.3,0.1,0.25
2021-09-26,3762.0,3890.0,3700.0,3734.0,97796334.0,0.15,0.85,0.45,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.1,0.2
2021-09-28,3734.0,3750.0,3638.0,3684.0,101534420.0,-0.15,0.85,0.05,0.55,0.7,0.35,0.6,0.5,0.25,0.15,-0.05,-0.1
2021-09-29,3670.0,3719.0,3646.0,3679.0,136483939.0,0.15,0.9,0.25,0.2,0.7,0.3,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-02,3749.0,3862.0,3720.0,3773.0,148474016.0,0.15,0.85,0.25,0.35,0.65,0.25,0.6,0.45,0.35,0.25,0.05,0.1
2021-10-03,3754.0,3845.0,3662.0,3737.0,192864379.0,-0.25,0.85,0.15,0.55,0.7,0.1,0.6,0.5,0.2,0.15,-0.3,-0.4
2021-10-04,3800.0,3860.0,3749.0,3794.0,121479866.0,-0.3,0.9,0.1,0.2,0.7,0.3,0.6,0.5,0.2,0.1,-0.2,-0.3
2021-10-06,3799.0,3820.0,3729.0,3760.0,88679821.0,0.15,0.85,0.25,0.45,0.55,0.3,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-09,3799.0,3800.0,3631.0,3667.0,117518275.0,-0.35,0.85,0.1,0.55,0.65,0.35,0.6,0.5,0.25,0.15,-0.2,-0.3
2021-10-10,3630.0,3682.0,3600.0,3645.0,96981538.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.1,0.05
2021-10-11,3680.0,3709.0,3563.0,3639.0,86833652.0,-0.35,0.85,0.15,0.55,0.65,0.35,0.6,0.5,0.25,0.15,-0.3,-0.4
2021-10-12,3630.0,3630.0,3476.0,3503.0,125652120.0,-0.35,0.85,0.15,0.55,0.65,0.35,0.7,0.6,0.2,0.15,-0.25,-0.3
2021-10-13,3495.0,3540.0,3378.0,3432.0,120093400.0,-0.2,0.9,0.1,0.5,0.7,0.4,0.6,0.5,0.2,0.3,-0.3,-0.4
2021-10-16,3500.0,3603.0,3469.0,3583.0,155198538.0,0.45,0.85,0.55,0.6,0.7,0.35,0.65,0.25,0.5,0.4,0.3,0.5
2021-10-17,3659.0,3659.0,3435.0,3509.0,128682261.0,0.15,0.9,0.2,0.6,0.7,0.4,0.7,0.3,0.4,0.3,0.1,0.2
2021-10-18,3450.0,3564.0,3390.0,3483.0,168834245.0,0.1,0.7,0.2,0.3,0.5,0.3,0.6,0.4,0.2,0.3,0.1,0.0
2021-10-19,3559.0,3599.0,3514.0,3561.0,58387816.0,0.15,0.85,0.25,0.35,0.65,0.15,0.6,0.45,0.4,0.3,0.1,0.2
2021-10-20,3540.0,3570.0,3460.0,3503.0,65625183.0,0.1,0.9,0.4,0.6,0.7,0.3,0.6,0.5,0.4,0.3,0.2,0.1
2021-10-23,3328.0,3328.0,3328.0,3328.0,72514990.0,-0.63,0.95,-0.71,0.21,0.58,0.35,0.68,0.55,0.18,0.12,-0.42,-0.58
2021-10-25,0.0,0.0,0.0,3328.0,0.0,-0.25,0.85,0.15,0.35,0.55,0.4,0.6,0.5,0.2,0.15,-0.3,-0.4
2021-10-26,0.0,0.0,0.0,3328.0,0.0,0.15,0.85,0.05,0.45,0.65,0.35,0.55,0.5,0.25,0.15,0.05,0.1
2021-10-27,0.0,0.0,0.0,3328.0,0.0,0.15,0.85,0.25,0.35,0.65,0.25,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-30,0.0,0.0,0.0,3328.0,0.0,-0.7,0.9,-0.5,0.2,0.7,0.4,0.6,0.6,0.1,0.1,-0.4,-0.5
2021-10-31,0.0,0.0,0.0,3328.0,0.0,-0.23,0.85,0.11,0.38,0.58,0.18,0.48,0.42,0.28,0.22,-0.15,-0.18
2021-11-01,0.0,0.0,0.0,3328.0,0.0,0.15,0.85,0.05,0.55,0.65,0.35,0.7,0.5,0.4,0.3,0.1,0.05
2021-11-02,0.0,0.0,0.0,3328.0,0.0,-0.3,0.7,0.1,0.2,0.5,0.3,0.6,0.5,0.2,0.1,-0.2,-0.3
2021-11-03,0.0,0.0,0.0,3328.0,0.0,-0.2,0.9,0.1,0.2,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.1
2021-11-06,0.0,0.0,0.0,3328.0,0.0,0.15,0.85,0.25,0.3,0.7,0.4,0.6,0.35,0.45,0.3,0.1,0.05
2021-11-07,0.0,0.0,0.0,3328.0,0.0,-0.2,0.9,-0.4,0.2,0.7,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-11-08,0.0,0.0,0.0,3328.0,0.0,-0.35,0.85,-0.4,0.2,0.65,0.4,0.6,0.55,0.25,0.15,-0.25,-0.3
2021-11-09,0.0,0.0,0.0,3328.0,0.0,0.15,0.85,0.25,0.35,0.55,0.3,0.6,0.45,0.4,0.3,0.05,0.1
2021-11-10,3520.0,3598.0,3494.0,3530.0,657908656.0,0.23,0.85,0.12,0.41,0.67,0.38,0.62,0.45,0.55,0.48,0.15,0.42
2021-11-13,3400.0,3440.0,3354.0,3360.0,363676984.0,-0.15,0.85,0.1,0.25,0.55,0.3,0.6,0.35,0.2,0.15,-0.05,-0.1
2021-11-14,3320.0,3450.0,3269.0,3334.0,184425379.0,-0.1,0.9,0.1,0.5,0.7,0.4,0.6,0.5,0.2,0.3,-0.2,-0.3
2021-11-15,3286.0,3340.0,3168.0,3181.0,295970383.0,-0.25,0.85,-0.4,0.35,0.65,0.3,0.55,0.45,0.2,0.15,-0.3,-0.35
2021-11-16,3099.0,3222.0,3080.0,3138.0,155350180.0,-0.1,0.7,0.1,0.3,0.5,0.4,0.6,0.5,0.2,0.1,-0.2,-0.3
2021-11-17,3171.0,3228.0,3115.0,3172.0,113449719.0,-0.32,0.85,0.11,0.38,0.58,,,,,,,
2021-11-20,3170.0,3170.0,3014.0,3048.0,165855329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21,3048.0,3105.0,3000.0,3053.0,184557689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-22,3136.0,3205.0,3136.0,3200.0,434869595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-23,3200.0,3218.0,3106.0,3153.0,137998861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-24,3130.0,3150.0,3005.0,3047.0,153012245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-27,3038.0,3038.0,2895.0,2914.0,143681617.0,-0.15,0.85,0.1,0.35,0.6,0.3,0.55,0.5,0.25,0.2,-0.2,-0.3
2021-11-28,2850.0,2970.0,2832.0,2902.0,162855673.0,0.2,0.9,0.5,0.3,0.7,0.4,0.6,0.5,0.4,0.3,0.1,0.3
2021-11-29,2880.0,2934.0,2835.0,2863.0,85383236.0,0.15,0.85,0.25,0.35,0.55,0.4,0.6,0.45,0.2,0.15,0.05,0.1
2021-11-30,2890.0,3006.0,2866.0,2995.0,309661866.0,0.35,0.9,0.45,0.3,0.6,0.4,0.55,0.25,0.4,0.3,0.1,
2021-12-01,3040.0,3060.0,2901.0,2960.0,135775207.0,0.15,0.85,0.25,0.2,0.6,0.35,0.7,0.45,0.4,0.3,0.1,0.05
2021-12-04,2999.0,3006.0,2812.0,2845.0,171602609.0,0.1,0.9,0.2,0.5,0.7,0.4,0.6,0.5,0.4,0.3,0.1,0.2
2021-12-05,2820.0,2880.0,2803.0,2843.0,91129905.0,0.15,0.85,0.25,0.35,0.65,0.15,0.6,0.45,0.2,0.15,-0.05,-0.1
2021-12-06,2845.0,2935.0,2845.0,2891.0,51972958.0,-0.1,0.9,0.2,0.5,0.7,0.3,0.6,0.5,0.4,0.3,-0.2,-0.3
2021-12-07,2820.0,2880.0,2820.0,2855.0,61259494.0,-0.1,0.9,0.2,0.5,0.7,0.3,0.6,0.5,0.4,0.3,0.1,-0.1
2021-12-08,2841.0,2969.0,2841.0,2918.0,56553299.0,0.15,0.85,0.45,0.25,0.65,0.35,0.6,0.3,0.4,0.3,0.1,0.2
2021-12-11,2932.0,2970.0,2857.0,2908.0,51994361.0,-0.42,0.7,-0.5,0.1,0.5,0.1,0.4,0.5,0.1,0.1,-0.3,-0.4
2021-12-12,2900.0,2900.0,2810.0,2831.0,45261294.0,0.15,0.7,0.45,0.2,0.55,0.35,0.6,0.25,0.4,0.3,0.05,0.1
2021-12-13,2831.0,2876.0,2690.0,2734.0,114488311.0,-0.45,0.85,0.15,0.25,0.7,0.3,0.6,0.55,0.2,0.15,-0.3,-0.4
2021-12-14,2693.0,2779.0,2648.0,2711.0,90092730.0,0.15,0.7,0.25,0.2,0.5,0.3,0.6,0.5,0.2,0.1,0.05,0.1
2021-12-15,2715.0,2770.0,2655.0,2699.0,51371112.0,0.05,0.7,0.1,0.2,0.5,0.1,0.6,0.5,0.2,0.1,-0.05,-0.1
2021-12-18,2739.0,2830.0,2724.0,2766.0,62170274.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.2,0.15,-0.05,0.1
2021-12-19,2780.0,2780.0,2665.0,2688.0,67148816.0,-0.35,0.85,0.15,0.25,0.65,0.35,0.6,0.45,0.25,0.15,-0.25,-0.35
2021-12-20,2822.0,2822.0,2822.0,2822.0,49297731.0,0.35,0.9,0.25,0.5,0.65,0.3,0.7,0.45,0.4,0.35,0.15,0.2
2021-12-21,2963.0,2963.0,2901.0,2955.0,146052177.0,0.15,0.85,0.45,0.55,0.65,0.35,0.6,0.5,0.4,0.3,0.1,0.2
2021-12-22,3038.0,3102.0,3011.0,3085.0,78717606.0,0.15,0.85,0.45,0.55,0.7,0.35,0.65,0.5,0.6,0.4,0.25,0.3
2021-12-25,3200.0,3200.0,3090.0,3137.0,202807685.0,0.45,0.9,0.5,0.35,0.7,0.15,0.6,0.25,0.4,0.3,0.2,0.1
2021-12-26,3110.0,3151.0,3015.0,3080.0,156887859.0,0.15,0.85,0.45,0.35,0.65,0.3,0.6,0.25,0.4,0.35,0.1,0.05
2021-12-27,3180.0,3190.0,3066.0,3114.0,77244170.0,0.45,0.85,0.55,0.25,0.65,0.35,0.6,0.3,0.5,0.4,0.2,0.3
2021-12-28,3138.0,3162.0,3050.0,3113.0,74734172.0,0.1,0.7,0.2,0.2,0.5,0.3,0.6,0.3,0.4,0.3,0.1,0.0
2021-12-29,3137.0,3268.0,3110.0,3238.0,269846258.0,0.15,0.7,0.25,0.35,0.55,0.25,0.6,0.35,0.4,0.3,0.2,0.1
2022-01-01,3171.0,3230.0,3126.0,3157.0,80256897.0,0.4,0.9,0.5,0.7,0.5,0.1,0.6,0.3,0.5,0.4,0.3,0.2
2022-01-02,3168.0,3199.0,3114.0,3147.0,61568408.0,0.6,0.9,0.7,0.2,0.7,0.3,0.6,0.2,0.5,0.4,0.6,0.5
2022-01-03,3180.0,3197.0,3104.0,3134.0,58627154.0,0.15,0.85,0.05,0.25,0.65,0.35,0.7,0.45,0.2,0.1,0.05,0.1
2022-01-04,3150.0,3150.0,3035.0,3058.0,78365108.0,0.1,0.9,0.2,0.6,0.7,0.4,0.7,0.5,0.4,0.3,0.2,0.1
2022-01-05,3080.0,3100.0,3030.0,3066.0,46943513.0,0.2,0.7,0.4,0.3,0.5,0.3,0.6,0.3,0.4,0.3,0.1,0.1
2022-01-08,3100.0,3219.0,3091.0,3185.0,160283852.0,0.15,0.7,0.1,0.5,0.5,0.3,0.6,0.3,0.2,0.1,0.05,0.1
2022-01-09,3189.0,3220.0,3087.0,3138.0,74772905.0,0.1,0.7,0.2,0.3,0.5,0.4,0.6,0.3,0.4,0.3,0.2,0.1
2022-01-10,3148.0,3280.0,3090.0,3214.0,157634712.0,0.15,0.85,0.4,0.25,0.55,0.3,0.6,0.35,0.4,0.25,0.05,0.1
2022-01-11,3216.0,3348.0,3216.0,3279.0,140336592.0,0.6,0.9,0.5,0.2,0.8,0.4,0.7,0.3,0.5,0.4,0.6,0.7
