Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,4239.0,4250.0,4110.0,4162.0,32438527.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-18,4121.0,4205.0,3954.0,3990.0,42886041.0,0.1,0.7,0.2,0.3,0.5,0.1,0.6,0.3,0.2,0.1,-0.2,-0.3
2021-09-19,3954.0,4046.0,3811.0,3892.0,37767726.0,0.2,0.9,0.1,0.1,0.4,0.1,0.3,0.2,0.1,0.1,0.05,0.1
2021-09-20,3930.0,3990.0,3880.0,3916.0,27509706.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-21,3912.0,3912.0,3721.0,3747.0,45609604.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-09-22,3726.0,3834.0,3565.0,3706.0,40889617.0,0.15,0.9,0.1,0.6,0.7,0.4,0.7,0.5,0.2,0.1,0.05,0.1
2021-09-25,3545.0,3850.0,3545.0,3733.0,65282882.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-09-26,3785.0,3821.0,3613.0,3680.0,36958542.0,0.15,0.85,0.05,0.25,0.55,0.15,0.6,0.45,0.2,0.1,0.05,0.1
2021-09-28,3612.0,3738.0,3600.0,3640.0,33500002.0,0.1,0.7,0.2,0.3,0.5,0.3,0.6,0.5,0.2,0.1,0.0,0.1
2021-09-29,3615.0,3800.0,3615.0,3733.0,46641026.0,0.15,0.85,0.25,0.2,0.55,0.15,0.6,0.35,0.25,0.15,0.05,0.1
2021-10-02,3818.0,3919.0,3808.0,3897.0,71871005.0,0.1,0.6,0.2,0.1,0.4,0.1,0.3,0.2,0.1,0.1,0.0,0.1
2021-10-03,3959.0,4018.0,3870.0,3947.0,79869481.0,0.15,0.7,0.25,0.1,0.4,0.1,0.4,0.2,0.2,0.1,0.05,0.1
2021-10-04,3836.0,3990.0,3812.0,3924.0,35675486.0,0.15,0.7,0.25,0.1,0.5,0.1,0.4,0.2,0.4,0.3,0.1,0.05
2021-10-06,3924.0,3980.0,3885.0,3915.0,35004926.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-09,3975.0,3975.0,3720.0,3776.0,28389465.0,0.1,0.4,0.2,0.1,0.3,0.1,0.3,0.2,0.1,0.1,0.05,0.1
2021-10-10,3640.0,3774.0,3630.0,3708.0,23032889.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-11,3780.0,3830.0,3602.0,3699.0,23742978.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-12,3571.0,3625.0,3515.0,3520.0,55942344.0,0.15,0.7,0.25,0.35,0.55,0.15,0.6,0.3,0.25,0.2,0.05,0.1
2021-10-13,3496.0,3513.0,3344.0,3369.0,35528286.0,-0.35,0.85,-0.45,0.15,0.55,0.1,0.6,0.5,0.1,0.05,-0.3,-0.4
2021-10-16,3406.0,3530.0,3406.0,3468.0,25529778.0,0.1,0.9,0.2,0.1,0.7,0.3,0.6,0.5,0.2,0.1,-0.2,-0.3
2021-10-17,3510.0,3510.0,3295.0,3353.0,35742779.0,-0.42,0.85,-0.55,0.15,0.5,0.3,0.6,0.55,0.1,0.05,-0.35,-0.4
2021-10-18,3250.0,3400.0,3240.0,3310.0,33827077.0,0.15,0.85,0.05,0.25,0.55,0.35,0.65,0.5,0.2,0.15,-0.25,-0.3
2021-10-19,3360.0,3420.0,3310.0,3364.0,24209921.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.35,0.4,0.25,0.05,0.1
2021-10-20,3340.0,3375.0,3292.0,3333.0,17915233.0,0.15,0.7,0.1,0.3,0.5,0.1,0.4,0.2,0.2,0.1,0.05,0.1
2021-10-23,3297.0,3300.0,3167.0,3173.0,34829823.0,0.15,0.7,0.1,0.2,0.5,0.3,0.6,0.5,0.4,0.3,0.1,0.2
2021-10-25,3060.0,3161.0,3015.0,3050.0,30705774.0,0.1,0.7,0.2,0.2,0.5,0.1,0.6,0.3,0.2,0.1,0.0,0.1
2021-10-26,2970.0,3083.0,2970.0,3032.0,21736248.0,-0.35,0.85,-0.25,0.15,0.55,0.1,0.6,0.45,0.2,0.15,-0.3,-0.4
2021-10-27,3089.0,3178.0,2881.0,3068.0,40783908.0,0.15,0.9,0.1,0.2,0.5,0.3,0.6,0.5,0.2,0.1,0.05,0.1
