Date,Open,High,Low,Close,Volume,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12
2021-09-15,0.0,0.0,0.0,12460.0,0.0,0.15,0.7,0.25,0.35,0.55,0.15,0.6,0.3,0.4,0.3,0.2,0.1
2021-09-18,0.0,0.0,0.0,12460.0,0.0,-0.2,0.9,0.1,0.3,0.7,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-19,0.0,0.0,0.0,12460.0,0.0,-0.2,0.9,0.1,0.2,0.5,0.1,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-20,11840.0,11840.0,11840.0,11840.0,4111786.0,0.1,0.9,0.2,0.3,0.5,0.1,0.6,0.4,0.2,0.1,-0.2,-0.1
2021-09-21,11450.0,11770.0,11250.0,11300.0,26257688.0,-0.42,0.85,-0.35,0.28,0.58,0.18,0.48,0.38,0.22,0.15,-0.25,-0.35
2021-09-22,10800.0,10980.0,10740.0,10760.0,60075523.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-09-25,10880.0,11000.0,10360.0,10700.0,75210995.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.4,0.3,0.05,0.1
2021-09-26,10950.0,11070.0,10450.0,10770.0,44235237.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.4,0.3,-0.3,-0.4
2021-09-28,10600.0,10770.0,10240.0,10340.0,30294270.0,-0.3,0.9,-0.4,0.5,0.7,0.3,0.6,0.5,0.2,0.1,-0.2,-0.3
2021-09-29,10020.0,10530.0,9840.0,10140.0,40987821.0,-0.35,0.85,-0.45,0.25,0.55,0.15,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-02,10090.0,10500.0,9980.0,10290.0,40122657.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.4,0.3,0.1,0.05
2021-10-03,10610.0,10800.0,10350.0,10770.0,66338818.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.45,0.4,0.3,0.05,0.1
2021-10-04,11020.0,11300.0,10890.0,11130.0,52544039.0,-0.2,0.9,0.1,0.3,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-06,11300.0,11450.0,10580.0,10750.0,45883296.0,-0.4,0.9,-0.2,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-09,10710.0,10710.0,10220.0,10270.0,25318133.0,-0.2,0.9,0.1,0.3,0.5,0.1,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-10,9960.0,10200.0,9760.0,9850.0,31372653.0,-0.23,0.85,0.15,0.38,0.58,0.18,0.48,0.42,0.28,0.22,-0.15,-0.18
2021-10-11,9960.0,10190.0,9600.0,9890.0,18915015.0,-0.35,0.85,-0.25,0.15,0.55,0.1,0.6,0.5,0.2,0.15,-0.3,-0.4
2021-10-12,9830.0,9830.0,9400.0,9420.0,19810392.0,-0.35,0.85,-0.25,0.45,0.65,0.15,0.55,0.5,0.2,0.1,-0.3,-0.4
2021-10-13,9400.0,9400.0,8950.0,9040.0,40039219.0,0.15,0.85,0.45,0.35,0.65,0.25,0.6,0.5,0.4,0.3,0.1,0.05
2021-10-16,9490.0,9490.0,9490.0,9460.0,3754945.0,0.15,0.85,0.45,0.55,0.65,0.35,0.6,0.5,0.4,0.3,0.2,0.1
2021-10-17,9930.0,9930.0,9800.0,9930.0,101477859.0,0.15,0.85,0.25,0.35,0.55,0.15,0.6,0.3,0.4,0.25,0.1,0.05
2021-10-18,9940.0,10100.0,9520.0,9780.0,41535899.0,0.15,0.9,0.2,0.5,0.7,0.4,0.6,0.5,0.4,0.3,0.1,0.2
2021-10-19,9800.0,9870.0,9530.0,9660.0,30926237.0,-0.2,0.9,0.1,0.3,0.5,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-20,9500.0,9500.0,9190.0,9280.0,25156006.0,-0.35,0.85,0.15,0.25,0.55,0.15,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-23,9010.0,9020.0,8820.0,8840.0,13632650.0,-0.23,0.85,0.11,0.38,0.58,0.18,0.62,0.42,0.28,0.15,-0.15,-0.12
2021-10-25,8520.0,8690.0,8400.0,8420.0,43444582.0,-0.2,0.9,0.1,0.3,0.7,0.4,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-26,8120.0,8420.0,8050.0,8180.0,29918404.0,-0.35,0.85,-0.4,0.25,0.7,0.15,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-27,8180.0,8580.0,8150.0,8490.0,36145855.0,0.15,0.85,0.25,0.55,0.65,0.35,0.7,0.45,0.4,0.3,0.1,0.05
2021-10-30,8700.0,8740.0,8070.0,8150.0,41632918.0,-0.2,0.9,0.1,0.5,0.7,0.3,0.6,0.5,0.2,0.1,-0.3,-0.4
2021-10-31,7900.0,8000.0,7750.0,7770.0,23893762.0,-0.3,0.9,-0.4,0.2,0.7,0.3,0.6,0.5,0.2,0.1,-0.2,-0.3
2021-11-01,7780.0,8150.0,7780.0,8060.0,23995785.0,0.15,0.85,0.45,0.55,0.65,0.35,0.6,0.5,0.4,0.3,0.1,0.05
2021-11-02,7870.0,8290.0,7750.0,8110.0,18309940.0,0.1,0.9,0.2,0.5,0.7,0.3,0.6,0.5,0.4,0.3,0.2,0.1
